auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AYCA,2005,SILVER,ACURA,MDX,SUV,A,182757,24,1,2400,2017-01-02
AYCA,2009,MAROON,ACURA,MDX,SUV,A,145063,36,4,8000,2017-01-02
AYCA,2001,GOLD,ACURA,MDX,SUV,A,205796,13,1,1200,2017-01-02
GCAA,2014,WHITE,ACURA,RLX,4DSN,A,41469,29,2,21000,2017-01-02
MAA,2014,GREY,ACURA,MDX,SUV,A,31563,30,1,28300,2017-01-02
MAA,2013,BLACK,ACURA,TL,4DSN,A,8159,27,1,16000,2017-01-02
MAA,2013,GREY,ACURA,ILX,4DSN,A,41464,26,1,11700,2017-01-02
MAA,2013,SILVER,ACURA,ILX,4DSN,A,36432,20,1,12600,2017-01-02
MAA,2013,SILVER,ACURA,TL,4DSN,A,20055,19,1,15500,2017-01-02
MAA,2014,BLACK,ACURA,TL,4DSN,A,21899,26,2,17500,2017-01-02
MAA,2014,WHITE,ACURA,ILX,4DSN,A,23294,27,1,14500,2017-01-02
MAA,2014,BLACK,ACURA,ILX,4DSN,A,15246,25,1,13400,2017-01-02
MAA,2013,BLACK,ACURA,ILX,4DSN,A,23561,13,1,12700,2017-01-02
MAA,2014,BLACK,ACURA,MDX,SUV,A,46384,21,1,25200,2017-01-02
MAA,2013,SILVER,ACURA,ILX,4DSN,A,33297,23,1,11800,2017-01-02
MAA,2014,BLACK,ACURA,MDX,SUV,A,72843,25,1,22000,2017-01-02
MAA,2014,WHITE,ACURA,TL,4DSN,A,19819,27,1,17600,2017-01-02
MAA,2014,BLACK,ACURA,MDX,SUV,A,49519,20,1,25300,2017-01-02
MAA,2013,GREY,ACURA,ILX,4DSN,P,40392,26,2,12700,2017-01-02
MAA,2014,BLACK,ACURA,RLX,4DSN,A,45828,23,1,20400,2017-01-02
MAA,2013,BLACK,ACURA,ILX,4DSN,P,37841,25,1,11700,2017-01-02
MAA,2015,BLACK,ACURA,RDX,SUV,A,17097,44,1,28600,2017-01-02
MAA,2014,BLACK,ACURA,TSX,4DSN,A,48433,28,3,14100,2017-01-02
MAA,2013,GREY,ACURA,ILX,4DSN,P,19403,35,2,12800,2017-01-02
MAA,2013,BLACK,ACURA,TSX,4DSN,A,29889,21,1,14700,2017-01-02
BIGH,2008,SILVER,ACURA,MDX,SUV,A,108440,27,1,9300,2017-01-03
SLAA,2003,SILVER,ACURA,MDX,SUV,A,166970,13,1,1900,2017-01-03
SKYA,2010,BLUE,ACURA,TL,4DSN,A,101390,41,1,10900,2017-01-03
BWAE,2013,WHITE,ACURA,RDX,SUV,A,151965,46,2,10000,2017-01-03
AAAI,2004,GREEN,ACURA,MDX,SUV,A,230599,20,1,800,2017-01-03
SKYA,2007,SILVER,ACURA,MDX,SUV,A,160725,16,1,5400,2017-01-03
SKYA,2002,BLUE,ACURA,RSX,2DCP,A,129644,28,1,1800,2017-01-03
SKYA,2007,GRAY,ACURA,MDX,SUV,A,131984,34,2,8200,2017-01-03
FAAO,2008,GRAY,ACURA,MDX,SUV,A,87416,34,1,13000,2017-01-03
SVAA,2009,BLACK,ACURA,MDX,SUV,A,74181,28,1,13500,2017-01-03
RAA,2012,MAROON,ACURA,RDX,SUV,A,45045,38,3,15750,2017-01-03
FAAO,2014,GRAY,ACURA,RLX,4DSN,A,12213,47,2,26600,2017-01-03
FAAO,2013,SILVER,ACURA,ILX,4DSN,A,46035,45,3,12600,2017-01-03
FAAO,2014,MAROON,ACURA,RDX,SUV,A,61228,42,2,19100,2017-01-03
FAAO,2013,BLACK,ACURA,TL,4DSN,A,50037,39,3,15000,2017-01-03
FAAO,2013,WHITE,ACURA,TL,4DSN,A,37440,38,2,17400,2017-01-03
FAAO,2013,GRAY,ACURA,TL,4DSN,A,32381,22,2,15800,2017-01-03
GOAA,2007,MAROON,ACURA,MDX,SUV,A,159315,27,2,5700,2017-01-03
GOAA,2008,GRAY,ACURA,TL,4DSN,A,197620,15,1,4000,2017-01-03
GOAA,2001,NIGHTHAW,ACURA,CL,2DCP,A,112101,29,1,1200,2017-01-03
AAA,2001,SILVER,ACURA,MDX,SUV,A,224084,21,4,2100,2017-01-03
AAA,2001,WHITE,ACURA,CL,2DCP,A,257071,24,1,800,2017-01-03
AAA,2003,BLACK,ACURA,TL,4DSN,A,192843,19,1,1300,2017-01-03
AAA,2005,BLACK,ACURA,MDX,SUV,A,153855,35,1,4500,2017-01-03
AAA,2004,BLUE,ACURA,MDX,SUV,A,182737,21,1,2900,2017-01-03
AAA,2006,BLACK,ACURA,MDX,SUV,A,151898,29,1,5500,2017-01-03
DAA,2012,BLACK,ACURA,TL,4DSN,A,52422,48,1,17000,2017-01-03
DAA,2007,BLACK,ACURA,MDX,SUV,A,189551,12,3,5200,2017-01-03
AAA,2005,GREY,ACURA,MDX,SUV,A,193837,19,1,1600,2017-01-03
OAA,2013,WHITE,ACURA,TL,4DSN,A,31701,44,2,17000,2017-01-03
OAA,2013,BLACK,ACURA,TL,4DSN,A,44927,41,1,17000,2017-01-03
OAA,2013,BLACK,ACURA,TL,4DSN,A,35382,41,1,19900,2017-01-03
OAA,2013,WHITE,ACURA,TL,4DSN,A,15402,40,2,17600,2017-01-03
OAA,2014,WHITE,ACURA,ILX,4DSN,A,27174,38,1,14200,2017-01-03
OAA,2014,BLACK,ACURA,MDX,SUV,A,30692,34,2,28800,2017-01-03
OAA,2014,BLACK,ACURA,ILX,4DSN,A,7977,33,1,14800,2017-01-03
OAA,2014,BLACK,ACURA,RDX,SUV,A,37251,33,1,22000,2017-01-03
SVAA,2005,BLUE,ACURA,MDX,SUV,A,157366,16,1,3400,2017-01-03
MAA,2014,GREY,ACURA,MDX,SUV,A,47790,41,3,28800,2017-01-03
RAA,2016,SILVER,ACURA,MDX,SUV,A,25185,50,2,36200,2017-01-03
OAA,2012,BLACK,ACURA,TL,4DSN,A,31262,13,5,17000,2017-01-03
MAA,2014,BLACK,ACURA,MDX,SUV,A,26332,16,1,27000,2017-01-03
MAA,2014,BLACK,ACURA,MDX,SUV,A,35986,34,1,29100,2017-01-03
BAA,2011,SILVER,ACURA,MDX,SUV,A,84628,35,8,14000,2017-01-04
ALOH,2008,BLACK,ACURA,MDX,SUV,A,95448,32,2,13250,2017-01-04
KCAA,2006,SILVER,ACURA,TL,4DSN,A,82504,33,1,8000,2017-01-04
NADE,2008,GRAY,ACURA,MDX,SUV,A,130936,27,1,7400,2017-01-04
SDAA,2004,GRAY,ACURA,RSX,2DCP,6,128534,16,1,4000,2017-01-04
NADE,2010,WHITE,ACURA,MDX,SUV,A,80552,26,10,17000,2017-01-04
BCAA,2016,GRAY,ACURA,TL,4DSN,A,868,50,1,26500,2017-01-04
BCAA,2010,GRAY,ACURA,ZDX,SUV,A,73028,40,1,17500,2017-01-04
SDAA,2010,GRAY,ACURA,RDX,SUV,A,136685,27,1,7600,2017-01-04
SDAA,2002,RED,ACURA,MDX,SUV,A,200102,20,1,1800,2017-01-04
NADE,2014,BLACK,ACURA,RDX,SUV,A,41259,46,1,23250,2017-01-04
BCAA,2006,BLUE,ACURA,MDX,SUV,A,104228,27,1,7200,2017-01-04
BCAA,2008,BLACK,ACURA,TL,4DSN,A,77073,29,1,14500,2017-01-04
BCAA,2015,WHITE,ACURA,MDX,SUV,A,23777,37,1,31000,2017-01-04
MAAI,2007,SILVER,ACURA,MDX,SUV,A,130692,37,2,8700,2017-01-04
SSAA,2010,GREY,ACURA,RDX,SUV,A,83949,39,1,13300,2017-01-04
CADE,2011,SILVER,ACURA,TL,4DSN,A,130177,37,2,9000,2017-01-04
CADE,2006,WHITE,ACURA,MDX,SUV,A,193588,35,1,3250,2017-01-04
CADE,2006,BLACK,ACURA,MDX,SUV,A,139442,33,1,5250,2017-01-04
DALA,2013,GRAY,ACURA,RDX,SUV,A,98938,33,2,13000,2017-01-04
NASH,2014,SILVER,ACURA,MDX,SUV,A,37480,34,1,29800,2017-01-04
CADE,2001,SILVER,ACURA,MDX,SUV,A,127193,28,2,1700,2017-01-04
NADE,2010,BLACK,ACURA,MDX,SUV,A,94749,35,4,14700,2017-01-04
NADE,2010,GRAY,ACURA,TL,4DSN,A,95581,35,1,8700,2017-01-04
NADE,2007,BROWN,ACURA,RDX,SUV,A,61422,29,1,9600,2017-01-04
SVAA,2009,BLACK,ACURA,TSX,4DSN,A,145721,19,1,6700,2017-01-04
AAA,2015,BLACK,ACURA,TL,4DSN,A,20870,43,4,23800,2017-01-04
SVAA,2003,BLACK,ACURA,MDX,SUV,A,155117,23,1,2800,2017-01-04
GOAA,2011,GRAY,ACURA,MDX,SUV,A,88121,33,3,15900,2017-01-04
ALBA,2003,BLACK,ACURA,TL,4DSN,A,1,0,1,500,2017-01-04
JAX,2004,WHITE,ACURA,MDX,SUV,A,243617,31,1,1800,2017-01-05
THAA,2010,GRAY,ACURA,TL,4DSN,A,106670,37,1,9000,2017-01-05
AAA,2014,BLACK,ACURA,ILX,4DSN,A,46165,22,1,11700,2017-01-05
MAA,2013,SILVER,ACURA,RDX,SUV,A,30821,45,1,22600,2017-01-05
SCAA,2016,WHITE,ACURA,MDX,SUV,A,8160,42,1,38800,2017-01-05
DAAE,2014,WHITE,ACURA,RDX,SUV,A,63782,25,1,19000,2017-01-05
SCAA,2008,BLACK,ACURA,MDX,SUV,A,124062,35,1,10500,2017-01-05
SCAA,2003,SILVER,ACURA,MDX,SUV,A,165572,19,1,2600,2017-01-05
SPAA,2003,GRAY,ACURA,TL,4DSN,A,259614,19,1,1000,2017-01-05
LOUA,2010,BLACK,ACURA,TSX,4DSN,A,85259,40,1,10400,2017-01-05
CINA,2008,BLACK,ACURA,TL,4DSN,A,95744,35,1,10500,2017-01-05
PXAA,2008,GRAY,ACURA,TL,4DSN,A,141520,33,1,7900,2017-01-05
AAA,2005,SILVER,ACURA,MDX,SUV,A,160780,37,1,4700,2017-01-05
AAA,2007,SILVER,ACURA,RDX,SUV,A,119786,29,2,7100,2017-01-05
SPAA,2001,GREEN,ACURA,MDX,SUV,A,180084,16,1,1000,2017-01-05
TBAA,2010,BLACK,ACURA,MDX,SUV,A,72502,43,1,18300,2017-01-05
SCAA,2007,GRAY,ACURA,RDX,SUV,A,89392,40,1,10500,2017-01-05
DFWA,2004,BLUE,ACURA,MDX,SUV,A,213317,22,1,2200,2017-01-05
TBAA,2009,SILVER,ACURA,MDX,SUV,A,70783,35,1,13400,2017-01-05
FAA,2012,MAROON,ACURA,TL,4DSN,A,85532,34,1,13400,2017-01-05
MAA,2014,BLACK,ACURA,TL,4DSN,A,20356,44,1,19500,2017-01-05
