auction_code,car_year,color,make,model,subseries,body,engine,transmission,mileage,condition_grade,times_run,seller,sale_price,formatted_sold_date
KEYA,2010,WHITE,AUDI,Q5,3.2L,4SUV,6G,A,82069,27,4,5055437,12100,2017-01-02
AREN,2016,WHITE,AUDI,A5,PREMIUM,2DCP,4GT,A,5192,44,2,4905416,33400,2017-01-02
AREN,2014,BLACK,AUDI,Q7,SLINE PRST,SUV,6G,A,29864,27,3,4905414,38000,2017-01-02
GOAA,2014,WHITE,AUDI,A4 FWD,PREMIUM +,4DSN,4GT,A,56321,41,2,4905415,18900,2017-01-02
GOAA,2014,WHITE,AUDI,A7,3.0 PRES,4DHB,6G,A,34370,37,1,4905415,37000,2017-01-02
MAA,2013,GREY,AUDI,A6 AWD V6,PREMIUM +,4DSN,6G,A,31722,39,2,4905423,27600,2017-01-02
MAA,2013,BLACK,AUDI,A4 AWD,PREMIUM,4DSN,4GT,A,24724,31,3,4905423,18600,2017-01-02
MAA,2016,BLACK,AUDI,A7,3.0 PRES,4DHB,6G,A,2696,25,4,4905414,46500,2017-01-02
MAA,2014,WHITE,AUDI,A4 AWD,PREMIUM,4DSN,4GT,A,28037,35,2,4905415,18900,2017-01-02
MAA,2013,GREY,AUDI,A6 AWD 4C,2.0T PRM +,4DSN,4GT,A,23749,30,2,4905423,26000,2017-01-02
MAA,2016,BLACK,AUDI,Q3 AWD,PRESTIGE,SUV,4GT,A,5749,48,2,4905416,34600,2017-01-02
MAA,2013,BLACK,AUDI,S5,PREMIUM +,2DCP,6G,A,39858,39,2,4905423,30600,2017-01-02
NADE,2013,BLACK,AUDI,Q5 4C,PREMIUM,SUV,4GT,A,39406,21,1,4905408,19700,2017-01-02
NADE,2014,BLACK,AUDI,A4 AWD,PREMIUM +,4DSN,4GT,A,25413,27,1,4905408,20500,2017-01-02
NADE,2014,BLACK,AUDI,A4 AWD,PREMIUM,4DSN,4GT,A,44234,22,1,4905408,16000,2017-01-02
NADE,2014,SILVER,AUDI,A5 2.0T PRES,PRES,2DCP,4GT,A,30996,33,3,4905408,27400,2017-01-02
NADE,2013,BLUE,AUDI,A4 AWD,PREMIUM,4DSN,4GT,A,43677,28,2,4905408,16100,2017-01-02
UAA,2007,BLACK,AUDI,A4 AWD V6,3.2L,4DSN,6G,A,142673,22,2,4910936,3000,2017-01-02
FAAO,2016,BLACK,AUDI,A6 AWD V6,PREMIUM +,4DSN,6G,A,4422,49,1,4910280,44200,2017-01-03
FAAO,2011,BLACK,AUDI,Q5 V6,3.2L PRES,4SUV,6G,A,53924,46,1,4910280,21000,2017-01-03
FAAO,2014,WHITE,AUDI,A6 FWD 4C,2.0T PRM +,4DSN,4GT,A,76252,45,5,4910280,18800,2017-01-03
FAAO,2010,RED,AUDI,TT,2.0T PRM +,2DCP,4GT,A,67953,39,3,4910280,16500,2017-01-03
SLAA,2010,BLACK,AUDI,Q5,PREMIUM +,4SUV,6G,A,81350,48,1,5019947,14100,2017-01-03
SONB,2013,GRAY,AUDI,A7,3.0 PRES,4DHB,6G,A,28368,27,5,4903703,27250,2017-01-03
OAA,2013,WHITE,AUDI,A6 AWD V6,PREMIUM +,4DSN,6G,A,33240,44,1,4958520,27200,2017-01-03
SKYA,2009,BLACK,AUDI,A4 AWD 4C,2.0T,2DCV,4GT,A,70874,30,1,5228198,7700,2017-01-03
SKYA,2006,BLUE,AUDI,A4 SEDAN,3.2L QTRO,4DSN,6G,A,129279,30,1,5087662,2700,2017-01-03
SVAA,2002,GRAY,AUDI,A4 AWD 4C,1.8T,4DSN,4GT,A,202706,25,1,5100049,1100,2017-01-03
SVAA,2008,WHITE,AUDI,A4 AWD 4C,2.0T,2DCV,4GT,A,66313,28,1,5100049,6400,2017-01-03
SVAA,2010,BLACK,AUDI,A6 FWD V6,3.2L PRM,4DSN,6G,A,89143,36,2,5046506,7800,2017-01-03
SVAA,2008,TAN,AUDI,TT AWD V6,3.2L,2DCV,6G,A,77776,41,1,5100049,11800,2017-01-03
