auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
KEYA,2010,WHITE,AUDI,Q5,4SUV,A,82069,27,4,12100,2017-01-02
AREN,2016,WHITE,AUDI,A5,2DCP,A,5192,44,2,33400,2017-01-02
AREN,2014,BLACK,AUDI,Q7,SUV,A,29864,27,3,38000,2017-01-02
GOAA,2014,WHITE,AUDI,A4,4DSN,A,56321,41,2,18900,2017-01-02
GOAA,2014,WHITE,AUDI,A7,4DHB,A,34370,37,1,37000,2017-01-02
MAA,2013,GREY,AUDI,A6,4DSN,A,31722,39,2,27600,2017-01-02
MAA,2013,BLACK,AUDI,A4,4DSN,A,24724,31,3,18600,2017-01-02
MAA,2016,BLACK,AUDI,A7,4DHB,A,2696,25,4,46500,2017-01-02
MAA,2014,WHITE,AUDI,A4,4DSN,A,28037,35,2,18900,2017-01-02
MAA,2013,GREY,AUDI,A6,4DSN,A,23749,30,2,26000,2017-01-02
MAA,2016,BLACK,AUDI,Q3,SUV,A,5749,48,2,34600,2017-01-02
MAA,2013,BLACK,AUDI,S5,2DCP,A,39858,39,2,30600,2017-01-02
NADE,2013,BLACK,AUDI,Q5,SUV,A,39406,21,1,19700,2017-01-02
NADE,2014,BLACK,AUDI,A4,4DSN,A,25413,27,1,20500,2017-01-02
NADE,2014,BLACK,AUDI,A4,4DSN,A,44234,22,1,16000,2017-01-02
NADE,2014,SILVER,AUDI,A5,2DCP,A,30996,33,3,27400,2017-01-02
NADE,2013,BLUE,AUDI,A4,4DSN,A,43677,28,2,16100,2017-01-02
UAA,2007,BLACK,AUDI,A4,4DSN,A,142673,22,2,3000,2017-01-02
FAAO,2016,BLACK,AUDI,A6,4DSN,A,4422,49,1,44200,2017-01-03
FAAO,2011,BLACK,AUDI,Q5,4SUV,A,53924,46,1,21000,2017-01-03
FAAO,2014,WHITE,AUDI,A6,4DSN,A,76252,45,5,18800,2017-01-03
FAAO,2010,RED,AUDI,TT,2DCP,A,67953,39,3,16500,2017-01-03
SLAA,2010,BLACK,AUDI,Q5,4SUV,A,81350,48,1,14100,2017-01-03
SONB,2013,GRAY,AUDI,A7,4DHB,A,28368,27,5,27250,2017-01-03
OAA,2013,WHITE,AUDI,A6,4DSN,A,33240,44,1,27200,2017-01-03
SKYA,2009,BLACK,AUDI,A4,2DCV,A,70874,30,1,7700,2017-01-03
SKYA,2006,BLUE,AUDI,A4,4DSN,A,129279,30,1,2700,2017-01-03
SVAA,2002,GRAY,AUDI,A4,4DSN,A,202706,25,1,1100,2017-01-03
SVAA,2008,WHITE,AUDI,A4,2DCV,A,66313,28,1,6400,2017-01-03
SVAA,2010,BLACK,AUDI,A6,4DSN,A,89143,36,2,7800,2017-01-03
SVAA,2008,TAN,AUDI,TT,2DCV,A,77776,41,1,11800,2017-01-03
FAAO,2012,BLUE,AUDI,A6,4DSN,A,57576,41,1,19800,2017-01-03
FAAO,2016,BLACK,AUDI,A6,4DSN,A,26618,43,1,27600,2017-01-03
HATA,2006,GRAY,AUDI,A4,4DSN,A,151295,34,6,2500,2017-01-03
RAA,2016,BLACK,AUDI,Q5,SUV,A,13685,46,1,35000,2017-01-03
SKYA,2007,GOLD,AUDI,A6,4DSN,A,86122,39,3,6700,2017-01-03
AAAI,2010,BLACK,AUDI,A6,4DSN,A,90204,28,7,9800,2017-01-03
AREN,2007,GRAY,AUDI,A4,4DSN,A,133099,36,1,3600,2017-01-03
FAAO,2012,BLACK,AUDI,A4,4DSN,A,44878,38,1,13600,2017-01-03
SKYA,2010,BLUE,AUDI,A6,4DSN,A,155600,42,1,7100,2017-01-03
AAAI,2011,BLUE,AUDI,Q5,4SUV,A,81996,36,1,17700,2017-01-03
OAA,2010,SILVER,AUDI,Q7,SUV,A,65149,42,1,20250,2017-01-03
FAAO,2017,BLACK,AUDI,A4,4DSN,A,2643,50,9,32000,2017-01-03
FAAO,2011,WHITE,AUDI,A6,4DSN,A,106941,43,1,11300,2017-01-03
FAAO,2014,WHITE,AUDI,A5,2DCV,A,41301,38,1,22000,2017-01-03
RAA,2004,BLACK,AUDI,A6,4DSN,A,135456,0,1,600,2017-01-03
SVAA,2007,GRAY,AUDI,Q7,SUV,A,92912,29,2,9800,2017-01-03
AAAW,2006,GRAY,AUDI,A6,4DSN,A,109363,21,1,2700,2017-01-03
SVAA,2015,BLACK,AUDI,A3,4DSN,A,8170,46,1,21400,2017-01-03
AAAW,2008,BLACK,AUDI,Q7,4SUV,A,115490,21,1,4900,2017-01-03
FAAO,2016,SILVER,AUDI,Q5,SUV,A,26259,37,4,28000,2017-01-03
SVAA,2015,BLACK,AUDI,Q7,SUV,A,14360,48,1,45500,2017-01-03
THAA,2007,BLACK,AUDI,Q7,SUV,A,122633,20,1,5400,2017-01-03
SVAA,2011,BLUE,AUDI,A4,4DSN,A,48479,44,1,12000,2017-01-03
OAA,2011,WHITE,AUDI,A5,2DCV,A,91106,40,3,13800,2017-01-03
SKYA,2011,WHITE,AUDI,Q5,4SUV,A,86070,43,2,14000,2017-01-03
DFWA,2016,WHITE,AUDI,Q3,SUV,A,26805,39,4,24500,2017-01-03
DFWA,2016,SILVER,AUDI,A3,4DSN,A,13208,47,1,26000,2017-01-03
DFWA,2013,WHITE,AUDI,A6,4DSN,A,64543,36,1,20100,2017-01-03
DFWA,2016,GRAY,AUDI,S4,4DSN,A,10534,35,1,42200,2017-01-03
DFWA,2014,WHITE,AUDI,A4,4DSN,A,26163,37,4,16400,2017-01-03
DFWA,2013,BLACK,AUDI,A5,2DCP,A,17071,19,3,20900,2017-01-03
DFWA,2014,BLACK,AUDI,A5,2DCV,A,35934,26,2,24600,2017-01-03
HATA,2007,GRAY,AUDI,A4,4DSN,A,113504,20,2,800,2017-01-03
BWAE,2009,WHITE,AUDI,A4,4DSN,A,106336,10,2,3700,2017-01-03
DAA,2009,SILVER,AUDI,A4,4DSN,A,87991,0,1,3000,2017-01-03
DAA,2011,WHITE,AUDI,Q5,4SUV,A,107532,33,1,6300,2017-01-03
DALA,2007,BLACK,AUDI,A6,4DSN,A,166056,20,5,650,2017-01-03
BAA,2006,BLUE,AUDI,A8 L V8,4DSN,A,138512,26,3,4500,2017-01-04
CADE,2016,WHITE,AUDI,A3,4DHB,A,7172,43,1,29750,2017-01-04
SAAA,2015,SILVER,AUDI,Q7,SUV,A,41291,40,2,35600,2017-01-04
SDAA,2011,SILVER,AUDI,A6,4DSN,A,60544,36,1,16100,2017-01-04
SDAA,2010,GRAY,AUDI,A5,2DCV,A,57236,42,1,13000,2017-01-04
NADE,2013,BLACK,AUDI,A6,4DSN,A,18522,35,1,25400,2017-01-04
NADE,2012,GRAY,AUDI,A4,4DSN,A,122388,49,3,9800,2017-01-04
SDAA,2013,GRAY,AUDI,Q7,SUV,A,34812,37,1,36750,2017-01-04
MAAI,2011,BLACK,AUDI,A5,2DCP,A,72344,43,1,13000,2017-01-04
