auction_code,car_year,color,make,model,subseries,body,engine,transmission,mileage,condition_grade,times_run,seller,sale_price,formatted_sold_date
MAA,2012,BLUE,LANDROVER,LR4 LUX,LUX,4SUV,8G,A,47847,31,4,5321988,31250,2017-01-02
NADE,2012,SILVER,LANDROVER,RR HSE,HSE,4SUV,8G,A,51691,37,3,4996436,31300,2017-01-02
FAAO,2014,WHITE,LANDROVER,RANGE R SPT V6,SE,SUV,6ET,A,31977,42,1,4910280,51000,2017-01-03
FAAO,2006,SILVER,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,132829,43,1,4910280,7600,2017-01-03
FAAO,2007,SILVER,LANDROVER,RANGE ROVER,HSE,4CUV,8G,A,137400,0,3,4905200,4500,2017-01-03
RAA,2016,BLACK,LANDROVER,RANGE R SPT V6,V6 SE,SUV,6G,A,12979,44,11,4913289,60500,2017-01-03
SONB,2006,WHITE,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,137573,40,1,5074252,7300,2017-01-03
SKYA,2007,SILVER,LANDROVER,RRS HSE,HSE,4CUV,8G,A,84315,35,2,5223793,10000,2017-01-03
RAA,2012,GRAY,LANDROVER,RR HSE,HSE,4SUV,8G,A,87057,50,1,5038618,23500,2017-01-03
AREN,2006,BLACK,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,94635,16,1,5111854,5800,2017-01-03
AREN,2010,SILVER,LANDROVER,RRS HSE,HSE,4SUV,8G,A,118026,19,1,5111328,15300,2017-01-03
AREN,2009,BLUE,LANDROVER,RRS HSE,HSE,4SUV,8G,A,152292,13,1,5394302,7000,2017-01-03
AREN,2010,BLACK,LANDROVER,RRS S/C,SC,4SUV,8G,A,83904,32,1,4985101,13300,2017-01-03
BWAE,2013,GRAY,LANDROVER,RR EVOQUE,PURE PLUS,5DHB,4GT,A,75526,36,2,5048394,21250,2017-01-03
SLAA,2008,WHITE,LANDROVER,RRS HSE,HSE,4CUV,8G,A,100217,35,1,5000630,10600,2017-01-03
SKYA,2009,WHITE,LANDROVER,LR2 HSE,HSE,4SUV,6G,A,89889,35,2,4913082,6000,2017-01-03
SKYA,2006,WHITE,LANDROVER,RANGE ROVER,HSE,4CUV,8G,A,122796,19,2,4938000,7300,2017-01-03
AAAI,2006,GRAY,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,105871,27,1,4938080,6100,2017-01-03
AAAI,2006,GRAY,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,108529,27,1,4938080,4600,2017-01-03
RAA,2005,GREEN,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,139678,22,1,4907573,3100,2017-01-03
BWAE,2012,BROWN,LANDROVER,LR4 HSE7,HSE,4SUV,8G,A,96132,42,2,5390232,19300,2017-01-03
FAAO,2016,GRAY,LANDROVER,RANGE R EVOQUE,SE,5DHB,4GT,A,19384,43,2,4913289,33500,2017-01-03
FAAO,2016,BLACK,LANDROVER,DISCOVERY SPORT,SE,SUV,4GT,A,20226,46,1,4913289,29500,2017-01-03
BWAE,2015,BLACK,LANDROVER,RANGE R EVOQUE,PURE PLUS,5DHB,4GT,A,32151,39,2,4910984,29500,2017-01-03
BWAE,2015,BLACK,LANDROVER,RANGE R EVOQUE,PURE,5DHB,4GT,A,28603,44,1,4910984,29500,2017-01-03
SVAA,2013,SILVER,LANDROVER,RR EVOQUE,PREST PREM,5DHB,4GT,A,32706,43,1,4958500,29000,2017-01-03
BWAE,2009,BLACK,LANDROVER,RRS SC,SC,4CUV,8G,A,69313,34,2,4938321,15000,2017-01-03
GOAA,2002,BLUE,LANDROVER,DISCOVERY,SD,4SUV,8G,A,123721,31,1,5101355,1200,2017-01-03
AAA,2006,WHITE,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,151834,33,4,5381360,5300,2017-01-03
AAA,2006,BLUE,LANDROVER,LR3 V8,HSE,4SUV,8G,A,127358,34,1,5009532,7200,2017-01-03
OAA,2013,GREY,LANDROVER,RANGE R SPT,HSE LUX,SUV,8G,A,30778,49,2,5139098,37800,2017-01-03
SAAA,2015,WHITE,LANDROVER,RANGE R SPT V6,HSE,SUV,6G,A,27636,42,2,5090594,58500,2017-01-03
SVAA,2008,WHITE,LANDROVER,RANGE ROVER,SC,4CUV,8G,A,84349,35,1,5352065,12700,2017-01-03
DAA,2011,RED,LANDROVER,LR4 HSE7 LUX,LUX,4SUV,8G,A,99918,37,3,4918814,16000,2017-01-03
FAAO,2016,GRAY,LANDROVER,RANGE R SPT V6,V6 HSE,SUV,6G,A,19897,48,1,4997476,66000,2017-01-03
RAA,2016,BLACK,LANDROVER,DISCOVERY SPORT,SE,SUV,4GT,A,19728,42,15,4913289,30000,2017-01-03
SCAA,2013,BLACK,LANDROVER,RANGE R SPT,HSE LUX,SUV,8G,A,34907,20,1,4900557,28750,2017-01-03
SVAA,2010,BLACK,LANDROVER,RR S/C,SC,4SUV,8G,A,111297,30,3,5352065,7100,2017-01-03
SVAA,2007,BLUE,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,135580,20,2,4920671,3500,2017-01-03
BWAE,2002,TAN,LANDROVER,FREELANDER,SE,4CUV,6G,A,95484,10,1,4938270,250,2017-01-03
DAA,2002,BLUE,LANDROVER,RANGE ROVER,HSE,4SUV,8G,A,148529,0,1,5341538,300,2017-01-03
SCAA,2003,RED,LANDROVER,FREELANDER,S,4CUV,6G,A,161875,20,1,4969053,400,2017-01-03
