auction_code,car_year,color,model,body,engine,mileage,condition_grade,times_run,sale_price,sold_date_year,sold_date_month
AAA,2014,BLACK,GS 350 4X2,4DSN,6G,35508,34,7,26500,2017,1
BCAA,2015,WHITE,CT 200H,4DSN,4H,9869,33,1,20500,2017,1
BCAA,2014,TAN,ES 300H,4DSN,4H,23680,38,1,23500,2017,1
FAAO,2016,GRAY,RC 350 4X2,2DCP,6G,18586,43,3,37500,2017,1
FAAO,2014,WHITE,IS 350 4X2,4DSN,6G,26992,37,3,28100,2017,1
FAAO,2015,BLACK,IS 250 4X2,4DSN,6G,25826,35,3,23000,2017,1
FAAO,2015,SILVER,IS 250 4X2,4DSN,6G,25822,29,3,23000,2017,1
FAAO,2015,WHITE,IS 250 4X2,4DSN,6G,24165,41,3,26600,2017,1
FAAO,2015,GRAY,IS 250 4X2,4DSN,6G,15349,35,3,24400,2017,1
FAAO,2013,BLACK,ES 350,4DSN,6G,14176,38,3,23100,2017,1
FAAO,2014,WHITE,GS 350 4X2,4DSN,6G,14346,46,3,32700,2017,1
MAA,2013,GREY,ES 350,4DSN,6G,34764,36,2,22300,2017,1
MAA,2013,SILVER,CT 200H,4DSN,4H,13015,28,2,16100,2017,1
MAA,2013,SILVER,ES 350,4DSN,6G,20198,37,2,21400,2017,1
MAA,2013,BLUE,ES 350,4DSN,6G,25008,25,2,19100,2017,1
MAA,2014,BLACK,IS 250 AWD,4DSN,6G,22512,23,2,23500,2017,1
MAA,2015,BLACK,IS 250 AWD,4DSN,6G,13995,35,2,26300,2017,1
MAA,2013,BLUE,ES 300H,4DSN,4H,36164,34,2,20600,2017,1
MMAA,2016,BROWN,ES 300H,4DSN,4H,13903,48,5,34100,2017,1
NASH,2014,GRAY,CT 200H,4DSN,4H,23507,42,2,16500,2017,1
OAA,2013,WHITE,GX 460,SUV,8G,81633,43,6,29200,2017,1
OAA,2012,WHITE,CT 200H,4DSN,4H,45900,41,2,13600,2017,1
OAA,2014,WHITE,IS 350 AWD,4DSN,6G,57434,37,6,23200,2017,1
PXAA,2013,WHITE,CT 200H,4DSN,4H,23897,42,1,16700,2017,1
PXAA,2014,BLACK,CT 200H,4DSN,4H,22173,25,2,14800,2017,1
PXAA,2014,GRAY,CT 200H,4DSN,4H,16419,40,1,18100,2017,1
RAA,2014,SILVER,IS 250 4X2,4DSN,6G,18524,36,1,20900,2017,1
SSAA,2014,BLUE,CT 200H,4DSN,4H,19564,34,1,17300,2017,1
SSAA,2015,GREY,CT 200H,4DSN,4H,17246,42,1,21100,2017,1
SSAA,2012,SILVER M,CT 200H,4DSN,4H,37609,40,1,14000,2017,1
SSAA,2014,GREY,ES 300H,4DSN,4H,19385,34,2,24300,2017,1
THAA,2013,GRAY,CT 200H,4DSN,4H,34681,38,1,15600,2017,1
FAAO,2015,SILVER,CT 200H,4DSN,4H,22323,44,5,18800,2017,1
FAAO,2014,WHITE,LS 460 4X2,4DSN,8G,45612,28,1,36600,2017,1
FAAO,2015,WHITE,GS 350 4X2,4DSN,6G,26377,29,1,28500,2017,1
FAAO,2014,BLACK,GS 350 4X2,4DSN,6G,14107,24,1,28000,2017,1
