auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AAA,2014,BLACK,LEXUS,GS 350,4DSN,A,35508,34,7,26500,2017-01-02
BCAA,2015,WHITE,LEXUS,CT,4DSN,A,9869,33,1,20500,2017-01-02
BCAA,2014,TAN,LEXUS,ES 300H,4DSN,A,23680,38,1,23500,2017-01-02
FAAO,2016,GRAY,LEXUS,RC 350,2DCP,A,18586,43,3,37500,2017-01-02
FAAO,2014,WHITE,LEXUS,IS 350,4DSN,A,26992,37,3,28100,2017-01-02
FAAO,2015,BLACK,LEXUS,IS 250,4DSN,A,25826,35,3,23000,2017-01-02
FAAO,2015,SILVER,LEXUS,IS 250,4DSN,A,25822,29,3,23000,2017-01-02
FAAO,2015,WHITE,LEXUS,IS 250,4DSN,A,24165,41,3,26600,2017-01-02
FAAO,2015,GRAY,LEXUS,IS 250,4DSN,A,15349,35,3,24400,2017-01-02
FAAO,2013,BLACK,LEXUS,ES 350,4DSN,A,14176,38,3,23100,2017-01-02
FAAO,2014,WHITE,LEXUS,GS 350,4DSN,A,14346,46,3,32700,2017-01-02
MAA,2013,GREY,LEXUS,ES 350,4DSN,A,34764,36,2,22300,2017-01-02
MAA,2013,SILVER,LEXUS,CT,4DSN,A,13015,28,2,16100,2017-01-02
MAA,2013,SILVER,LEXUS,ES 350,4DSN,A,20198,37,2,21400,2017-01-02
MAA,2013,BLUE,LEXUS,ES 350,4DSN,A,25008,25,2,19100,2017-01-02
MAA,2014,BLACK,LEXUS,IS 250,4DSN,A,22512,23,2,23500,2017-01-02
MAA,2015,BLACK,LEXUS,IS 250,4DSN,A,13995,35,2,26300,2017-01-02
MAA,2013,BLUE,LEXUS,ES 300H,4DSN,A,36164,34,2,20600,2017-01-02
MMAA,2016,BROWN,LEXUS,ES 300H,4DSN,A,13903,48,5,34100,2017-01-02
NASH,2014,GRAY,LEXUS,CT,4DSN,A,23507,42,2,16500,2017-01-02
OAA,2013,WHITE,LEXUS,GX 460,SUV,A,81633,43,6,29200,2017-01-02
OAA,2012,WHITE,LEXUS,CT,4DSN,A,45900,41,2,13600,2017-01-02
OAA,2014,WHITE,LEXUS,IS 350,4DSN,A,57434,37,6,23200,2017-01-02
PXAA,2013,WHITE,LEXUS,CT,4DSN,A,23897,42,1,16700,2017-01-02
PXAA,2014,BLACK,LEXUS,CT,4DSN,A,22173,25,2,14800,2017-01-02
PXAA,2014,GRAY,LEXUS,CT,4DSN,A,16419,40,1,18100,2017-01-02
RAA,2014,SILVER,LEXUS,IS 250,4DSN,A,18524,36,1,20900,2017-01-02
SSAA,2014,BLUE,LEXUS,CT,4DSN,A,19564,34,1,17300,2017-01-02
SSAA,2015,GREY,LEXUS,CT,4DSN,A,17246,42,1,21100,2017-01-02
SSAA,2012,SILVER M,LEXUS,CT,4DSN,A,37609,40,1,14000,2017-01-02
SSAA,2014,GREY,LEXUS,ES 300H,4DSN,A,19385,34,2,24300,2017-01-02
THAA,2013,GRAY,LEXUS,CT,4DSN,A,34681,38,1,15600,2017-01-02
FAAO,2015,SILVER,LEXUS,CT,4DSN,A,22323,44,5,18800,2017-01-03
FAAO,2014,WHITE,LEXUS,LS 460,4DSN,A,45612,28,1,36600,2017-01-03
FAAO,2015,WHITE,LEXUS,GS 350,4DSN,A,26377,29,1,28500,2017-01-03
FAAO,2014,BLACK,LEXUS,GS 350,4DSN,A,14107,24,1,28000,2017-01-03
FAAO,2014,SILVER,LEXUS,IS 350,4DSN,A,22961,41,1,27500,2017-01-03
FAAO,2014,WHITE,LEXUS,GS 350,4DSN,A,22922,24,1,26300,2017-01-03
FAAO,2015,WHITE,LEXUS,ES 300H,4DSN,A,19177,38,1,25800,2017-01-03
FAAO,2014,SILVER,LEXUS,IS 350,4DSN,A,29120,27,1,26200,2017-01-03
FAAO,2014,WHITE,LEXUS,GS 350,4DSN,A,41792,22,1,26200,2017-01-03
FAAO,2015,GRAY,LEXUS,IS 250,4DSN,A,22361,38,1,24100,2017-01-03
FAAO,2015,BLACK,LEXUS,IS 250,4DSN,A,22652,13,1,19900,2017-01-03
FAAO,2015,RED,LEXUS,IS 250,4DSN,A,25489,35,1,24400,2017-01-03
FAAO,2015,GRAY,LEXUS,IS 250,4DSN,A,37768,29,1,24000,2017-01-03
FAAO,2014,BLACK,LEXUS,CT,4DSN,A,11532,31,1,17800,2017-01-03
FAAO,2014,GRAY,LEXUS,CT,4DSN,A,15723,36,1,16300,2017-01-03
OAA,2013,WHITE,LEXUS,CT,4DSN,A,39262,40,1,15700,2017-01-03
FAAO,2015,GRAY,LEXUS,NX 200T AWD,SUV,A,11756,50,1,35500,2017-01-03
BCAA,2014,BLACK,LEXUS,ES 300H,4DSN,A,61550,31,1,19000,2017-01-04
KCAA,2013,BLACK,LEXUS,CT,4DSN,A,34127,28,2,14400,2017-01-04
MAAI,2013,GRAY,LEXUS,ES 350,4DSN,A,23857,43,1,22100,2017-01-04
MAAI,2012,RED,LEXUS,CT,4DSN,A,32352,38,3,14500,2017-01-04
SDAA,2013,SILVER,LEXUS,CT,4DSN,A,37245,39,1,15250,2017-01-04
SDAA,2015,WHITE,LEXUS,NX 200T FWD,SUV,A,17433,46,1,34000,2017-01-04
BCAA,2013,RED,LEXUS,CT,4DSN,A,40036,39,1,14000,2017-01-04
SDAA,2014,BLACK,LEXUS,ES 300H,4DSN,A,54188,36,1,20500,2017-01-04
SSAA,2010,BLACK,LEXUS,GX 460,SUV,A,94077,37,2,21500,2017-01-04
NASH,2013,WHITE,LEXUS,CT,4DSN,A,47749,47,1,14600,2017-01-04
NADE,2013,BLACK,LEXUS,ES 350,4DSN,A,33560,26,1,19000,2017-01-04
SSAA,2015,WHITE,LEXUS,CT,4DSN,A,25358,38,1,18500,2017-01-04
AAA,2013,SILVER,LEXUS,ES 350,4DSN,A,65504,39,1,18000,2017-01-04
RAA,2013,WHITE,LEXUS,ES 350,4DSN,A,37874,41,1,19400,2017-01-04
MISS,2015,RED,LEXUS,GX 460,SUV,A,15300,49,2,47000,2017-01-05
MAA,2015,WHITE,LEXUS,GX 460,SUV,A,12475,44,1,47100,2017-01-05
MAA,2015,BLACK,LEXUS,RX 350,SUV,A,12925,40,1,36500,2017-01-05
MAA,2014,GREY,LEXUS,CT,4DSN,A,18781,34,1,16250,2017-01-05
MAA,2013,BLUE,LEXUS,ES 300H,4DSN,A,37968,37,1,19400,2017-01-05
MAA,2013,WHITE,LEXUS,ES 350,4DSN,A,69375,28,1,18500,2017-01-05
MAA,2014,SILVER,LEXUS,GS 350,4DSN,A,29048,20,1,24800,2017-01-05
MAA,2014,BLACK,LEXUS,CT,4DSN,A,25584,33,1,15500,2017-01-05
MAA,2014,SILVER,LEXUS,ES 300H,4DSN,A,50311,37,1,20000,2017-01-05
MAA,2013,WHITE,LEXUS,ES 350,4DSN,A,73387,25,1,16000,2017-01-05
THAA,2010,WHITE,LEXUS,HS 250H,4DSN,A,82807,33,1,8800,2017-01-05
MAA,2014,WHITE,LEXUS,RX 350,SUV,A,69507,38,2,25500,2017-01-05
SVAA,2007,BLUE,LEXUS,LS 460,4DSN,A,140892,28,2,10700,2017-01-05
DALA,2011,GRAY,LEXUS,CT,4DSN,A,68559,35,1,10500,2017-01-06
MAA,2014,SILVER,LEXUS,CT,4DSN,A,30027,38,2,15900,2017-01-06
MAA,2011,SILVER,LEXUS,LS 460,4DSN,A,79163,23,7,23000,2017-01-06
BCAA,2014,SILVER,LEXUS,CT,4DSN,A,48517,40,1,17800,2017-01-09
BCAA,2015,WHITE,LEXUS,ES 300H,4DSN,A,14275,43,1,27900,2017-01-09
BCAA,2014,WHITE,LEXUS,ES 300H,4DSN,A,30472,35,1,24600,2017-01-09
FAAO,2014,GRAY,LEXUS,CT,4DSN,A,30714,35,2,15500,2017-01-09
FAAO,2014,BLACK,LEXUS,LS 460,4DSN,A,64559,28,1,31600,2017-01-09
FAAO,2013,WHITE,LEXUS,ES 350,4DSN,A,47848,36,1,19400,2017-01-09
FAAO,2015,SILVER,LEXUS,CT,4DSN,A,19847,29,2,17500,2017-01-09
FAAO,2015,WHITE,LEXUS,GS 350,4DSN,A,21899,37,1,33200,2017-01-09
KCAA,2015,WHITE,LEXUS,CT,4DSN,A,5081,42,1,20900,2017-01-09
MMAA,2016,BLACK,LEXUS,RX 350,SUV,A,8724,46,1,47600,2017-01-09
OAA,2014,BLACK,LEXUS,LS 460,4DSN,A,75444,37,2,35100,2017-01-09
PXAA,2010,RED,LEXUS,HS 250H,4DSN,A,77599,34,6,10200,2017-01-09
PXAA,2014,WHITE,LEXUS,CT,4DSN,A,36915,27,8,13700,2017-01-09
RAA,2015,SILVER,LEXUS,ES 350,4DSN,A,11797,44,1,29800,2017-01-09
