auction_code,car_year,color,model,body,engine,mileage,condition_grade,times_run,sale_price,sold_date_year,sold_date_month
AYCA,2006,BLACK,NAVIGATOR 4X2,SUV,8G,121736.0,23,1.0,4800.0,2017,1
AYCA,2006,TAN,NAVIGATOR 4X2,SUV,8G,172258.0,26,1.0,4100.0,2017,1
AYCA,2005,GRAY,TOWN CAR,4DSN,8G,79343.0,20,1.0,3900.0,2017,1
AYCA,2002,WHITE,LS V8,4DSN,8G,73702.0,34,1.0,2500.0,2017,1
SLAA,2009,FR SILK,TOWN CAR,4DSN,8G,115406.0,44,1.0,5000.0,2017,1
AAAW,2016,WHITE,MKX FWD SUV,SUV,6G,36107.0,36,1.0,29600.0,2017,1
SLAA,2004,BLUE,LS V6,4DSN,6G,120054.0,27,4.0,2300.0,2017,1
RAA,2001,ORANGE,TOWN CAR,4DSN,8G,139319.0,13,1.0,800.0,2017,1
RAA,2006,GREEN,NAVIGATOR 4X4,SUV,8G,84601.0,20,6.0,2500.0,2017,1
FAAO,2016,BLACK,NAVIGATOR 4X2,SUV,6GT,12977.0,44,1.0,40800.0,2017,1
SVAA,2010,SILVER,MKS AWD V6,4DSN,6GT,39244.0,42,1.0,15900.0,2017,1
BWAE,2016,RED,MKC AWD 4C,SUV,4GT,2536.0,49,1.0,30000.0,2017,1
BWAE,2003,BLACK,NAVIGATOR 4X4,SUV,8G,164027.0,25,1.0,3000.0,2017,1
OAA,2015,GREY,MKS AWD V6,4DSN,6GT,24497.0,41,1.0,23500.0,2017,1
SLAA,2007,WHITE,TOWN CAR,4DSN,8G,145071.0,33,1.0,2500.0,2017,1
NAA,2014,BLACK,MKT AWD V6,4WGN,6GT,32883.0,41,1.0,26000.0,2017,1
NAA,2016,BLACK,NAVIGATOR L 4X4,SUV,6GT,23466.0,37,1.0,42700.0,2017,1
NAA,2016,BLUE,MKX AWD SUV,SUV,6G,6587.0,43,1.0,28900.0,2017,1
SSAA,2016,RED,MKX AWD SUV,SUV,6G,15375.0,49,1.0,36500.0,2017,1
DALA,2006,WHITE,NAVIGATOR 4X2,SUV,8G,149066.0,25,2.0,2800.0,2017,1
KCAA,2016,SILVER,MKT AWD V6,SUV,6GT,6005.0,48,1.0,31800.0,2017,1
KCAA,2016,WHITE,MKX AWD SUV,SUV,6G,25553.0,43,1.0,34800.0,2017,1
KCAA,2016,WHITE,MKX AWD SUV,SUV,6G,16084.0,41,1.0,37000.0,2017,1
KCAA,2016,GRAY,MKX AWD SUV,SUV,6G,32724.0,41,1.0,33100.0,2017,1
KCAA,2016,WHITE,NAVIGATOR L 4X4,SUV,6GT,12617.0,42,2.0,46100.0,2017,1
KCAA,2016,WHITE,NAVIGATOR L 4X4,SUV,6GT,15214.0,44,2.0,45600.0,2017,1
KCAA,2016,WHITE,MKX AWD SUV,SUV,6G,34835.0,44,4.0,32300.0,2017,1
KCAA,2016,BLACK,MKX AWD SUV,SUV,6G,27559.0,37,1.0,34700.0,2017,1
KCAA,2016,BLACK,NAVIGATOR L 4X4,SUV,6GT,15613.0,43,1.0,44500.0,2017,1
GOAA,2010,BLACK,TOWN CAR,4DSN,8ET,115789.0,28,5.0,5700.0,2017,1
AAA,2003,GREY,TOWN CAR,4DSN,8G,157934.0,35,1.0,1700.0,2017,1
RAA,2016,BLACK,NAVIGATOR L 4X2,SUV,6GT,32924.0,36,3.0,38500.0,2017,1
RAA,2016,BLACK,NAVIGATOR L 4X2,SUV,6GT,35026.0,43,3.0,38500.0,2017,1
KCAA,2016,WHITE,MKX AWD SUV,SUV,6G,15442.0,43,2.0,37100.0,2017,1
TBAA,2016,RED,MKX FWD SUV,SUV,6G,14748.0,49,2.0,36000.0,2017,1
MAA,2016,WHITE,NAVIGATOR L 4X4,SUV,6GT,20269.0,33,2.0,41700.0,2017,1
NASH,2014,TAN,MKS AWD V6,4DSN,6GT,76559.0,24,1.0,11300.0,2017,1
NASH,2014,BLUE,MKZ FWD 4C,4DSN,4H,28090.0,38,1.0,15700.0,2017,1
SDAA,2003,WHITE,AVIATOR AWD,SUV,8G,122741.0,31,1.0,2300.0,2017,1
CADE,2003,GRAY,LS V8,4DSN,8G,120028.0,18,1.0,1000.0,2017,1
DAA,2015,BLACK,MKS AWD V6,4DSN,6GT,38503.0,37,1.0,23100.0,2017,1
DADE,2002,BLUE,LS V6,4DSN,6G,122047.0,30,1.0,500.0,2017,1
CADE,2011,BLACK,TOWN CAR,4DSN,8ET,257051.0,32,1.0,3600.0,2017,1
NADE,2014,SILVER,MKZ FWD 4C,4DSN,4H,24024.0,44,2.0,18800.0,2017,1
NAA,2014,BLACK,MKS AWD V6,4DSN,6GT,44369.0,41,4.0,19800.0,2017,1
NAA,2015,BLACK,MKS AWD V6,4DSN,6GT,26199.0,35,3.0,26000.0,2017,1
NAA,2014,RED,MKZ FWD 4C,4DSN,4H,31821.0,36,4.0,16900.0,2017,1
BAA,2016,SILVER,MKX AWD SUV,SUV,6G,4967.0,46,2.0,26900.0,2017,1
BAA,2016,SILVER,MKX AWD SUV,SUV,6G,6517.0,43,2.0,26300.0,2017,1
BAA,2016,WHITE,MKX AWD SUV,SUV,6G,6991.0,43,2.0,26800.0,2017,1
BAA,2016,SILVER,MKC AWD 4C,SUV,4GT,18971.0,48,2.0,28100.0,2017,1
SSAA,2014,WHITE,MKZ FWD 4C,4DSN,4H,43359.0,35,1.0,16900.0,2017,1
TBAA,2016,SILVER,MKX FWD SUV,SUV,6G,8711.0,48,1.0,36600.0,2017,1
TBAA,2016,WHITE,MKX FWD SUV,SUV,6G,17775.0,42,1.0,33600.0,2017,1
TBAA,2016,GRAY,MKX FWD SUV,SUV,6G,18770.0,43,1.0,31800.0,2017,1
TBAA,2016,TAN,MKX FWD SUV,SUV,6G,18888.0,46,1.0,33500.0,2017,1
TBAA,2016,SILVER,MKX FWD SUV,SUV,6G,19512.0,35,1.0,32100.0,2017,1
TBAA,2016,SILVER,MKX FWD SUV,SUV,6G,20372.0,36,1.0,31300.0,2017,1
TBAA,2016,BLACK,MKX FWD SUV,SUV,6G,22504.0,44,1.0,31000.0,2017,1
TBAA,2016,SILVER,MKX FWD SUV,SUV,6G,23801.0,41,1.0,31000.0,2017,1
TBAA,2016,RED,MKX FWD SUV,SUV,6G,24611.0,42,1.0,31000.0,2017,1
TBAA,2016,GRAY,MKX FWD SUV,SUV,6G,25489.0,43,1.0,31800.0,2017,1
TBAA,2016,BLACK,NAVIGATOR L 4X2,SUV,6GT,24108.0,38,1.0,38100.0,2017,1
TBAA,2016,BLACK,NAVIGATOR L 4X2,SUV,6GT,29014.0,42,1.0,37100.0,2017,1
SCAA,2017,WHITE,MKZ FWD 4C,4DSN,4H,35.0,50,1.0,34000.0,2017,1
SCAA,2014,BLACK,MKZ FWD 4C,4DSN,4H,53160.0,44,1.0,17100.0,2017,1
GOAA,2000,WHITE,TOWN CAR,4DSN,8G,135065.0,25,1.0,400.0,2017,1
SCAA,2016,BLACK,MKX AWD SUV,SUV,6G,17908.0,42,2.0,33900.0,2017,1
