auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AYCA,2006,BLACK,LINCOLN,NAVIGATOR,SUV,A,121736.0,23,1.0,4800.0,2017-01-02
AYCA,2006,TAN,LINCOLN,NAVIGATOR,SUV,A,172258.0,26,1.0,4100.0,2017-01-02
AYCA,2005,GRAY,LINCOLN,TOWN CAR,4DSN,A,79343.0,20,1.0,3900.0,2017-01-02
AYCA,2002,WHITE,LINCOLN,LS V8,4DSN,A,73702.0,34,1.0,2500.0,2017-01-02
SLAA,2009,FR SILK,LINCOLN,TOWN CAR,4DSN,A,115406.0,44,1.0,5000.0,2017-01-03
AAAW,2016,WHITE,LINCOLN,MKX FWD,SUV,A,36107.0,36,1.0,29600.0,2017-01-03
SLAA,2004,BLUE,LINCOLN,LS V6,4DSN,A,120054.0,27,4.0,2300.0,2017-01-03
RAA,2001,ORANGE,LINCOLN,TOWN CAR,4DSN,A,139319.0,13,1.0,800.0,2017-01-03
RAA,2006,GREEN,LINCOLN,NAVIGATOR,SUV,A,84601.0,20,6.0,2500.0,2017-01-03
FAAO,2016,BLACK,LINCOLN,NAVIGATOR,SUV,A,12977.0,44,1.0,40800.0,2017-01-03
SVAA,2010,SILVER,LINCOLN,MKS AWD,4DSN,A,39244.0,42,1.0,15900.0,2017-01-03
BWAE,2016,RED,LINCOLN,MKC AWD,SUV,A,2536.0,49,1.0,30000.0,2017-01-03
BWAE,2003,BLACK,LINCOLN,NAVIGATOR,SUV,A,164027.0,25,1.0,3000.0,2017-01-03
OAA,2015,GREY,LINCOLN,MKS AWD,4DSN,A,24497.0,41,1.0,23500.0,2017-01-03
SLAA,2007,WHITE,LINCOLN,TOWN CAR,4DSN,A,145071.0,33,1.0,2500.0,2017-01-03
NAA,2014,BLACK,LINCOLN,MKT AWD,4WGN,A,32883.0,41,1.0,26000.0,2017-01-03
NAA,2016,BLACK,LINCOLN,NAVIGATOR,SUV,A,23466.0,37,1.0,42700.0,2017-01-03
NAA,2016,BLUE,LINCOLN,MKX AWD,SUV,A,6587.0,43,1.0,28900.0,2017-01-03
SSAA,2016,RED,LINCOLN,MKX AWD,SUV,A,15375.0,49,1.0,36500.0,2017-01-03
DALA,2006,WHITE,LINCOLN,NAVIGATOR,SUV,A,149066.0,25,2.0,2800.0,2017-01-03
KCAA,2016,SILVER,LINCOLN,MKT AWD,SUV,A,6005.0,48,1.0,31800.0,2017-01-03
KCAA,2016,WHITE,LINCOLN,MKX AWD,SUV,A,25553.0,43,1.0,34800.0,2017-01-03
KCAA,2016,WHITE,LINCOLN,MKX AWD,SUV,A,16084.0,41,1.0,37000.0,2017-01-03
KCAA,2016,GRAY,LINCOLN,MKX AWD,SUV,A,32724.0,41,1.0,33100.0,2017-01-03
KCAA,2016,WHITE,LINCOLN,NAVIGATOR,SUV,A,12617.0,42,2.0,46100.0,2017-01-03
KCAA,2016,WHITE,LINCOLN,NAVIGATOR,SUV,A,15214.0,44,2.0,45600.0,2017-01-03
KCAA,2016,WHITE,LINCOLN,MKX AWD,SUV,A,34835.0,44,4.0,32300.0,2017-01-03
