auction_code,car_year,color,model,body,engine,mileage,condition_grade,times_run,sale_price,sold_date_year,sold_date_month
AYCA,2004,BLUE,COUPE,2DCP,8G,42583,27,1,14000,2017,1
LMAA,2007,MAROON,QUATTROPORTE,4DSN,8G,36658,34,1,18000,2017,1
RAA,2015,BLUE,GHIBLI AWD,4DSN,6GT,7422,44,5,48000,2017,1
RAA,2015,RED,GHIBLI AWD,4DSN,6GT,12293,37,5,47500,2017,1
BCAA,2011,MAROON,GRANTURISMO,2DCP,8G,15886,35,1,45500,2017,1
NADE,2007,GRAY,QUATTROPORTE,4DSN,8G,92888,33,1,11800,2017,1
AAA,2013,GREY,GRANTURISMO,2DCP,8G,30332,30,1,51200,2017,1
AAA,2014,BLUE,GHIBLI AWD,4DSN,6GT,25721,50,1,43400,2017,1
CADE,2007,BLACK,QUATTROPORTE,4DSN,8G,58771,13,1,11750,2017,1
AAA,2016,BLACK,GRANTURISMO,2DCV,8G,3078,49,1,87000,2017,1
WPBA,2014,SILVER,GHIBLI AWD,4DSN,6GT,22992,36,11,40000,2017,1
MAA,2013,RED,GRANTURISMO,2DCV,8G,20316,45,1,79500,2017,1
NWE,2008,WHITE,QUATTROPORTE,4DSN,8G,53006,32,1,17000,2017,1
WPBA,2011,BLACK,QUATTROPORTE,4DSN,8G,8888,34,2,43400,2017,1
MAA,2006,BLACK,QUATTROPORTE,4DSN,8G,46564,29,1,6000,2017,1
GCAA,2005,SILVER,COUPE,2DCP,8G,31526,41,4,13750,2017,1
MAA,2016,GREY,GHIBLI AWD,4DSN,6GT,827,49,2,58000,2017,1
GCAA,2014,GRAY,GHIBLI AWD,4DSN,6GT,33896,35,1,40400,2017,1
CAAI,2007,BLACK,QUATTROPORTE,4DSN,8G,43378,29,2,18000,2017,1
NVAA,2008,SILVER,QUATTROPORTE,4DSN,8G,36382,35,2,24000,2017,1
MAA,2005,BLUE,COUPE,2DCP,8G,29176,35,1,16500,2017,1
MAA,2014,GREY,GRANTURISMO,2DCP,8G,23485,50,2,55500,2017,1
MAA,2013,WHITE,GRANTURISMO,2DCV,8G,3076,44,2,75500,2017,1
DAA,2016,GRAY,GHIBLI AWD,4DSN,6GT,6551,40,3,56750,2017,1
DAA,2016,BLACK,GHIBLI AWD,4DSN,6GT,5136,40,3,56500,2017,1
DAA,2016,BLACK,GHIBLI AWD,4DSN,6GT,7237,40,3,57500,2017,1
DAA,2016,BLUE,GHIBLI AWD,4DSN,6GT,6791,40,3,56000,2017,1
SSAA,2015,GREY,GHIBLI AWD,4DSN,6GT,5626,39,7,49250,2017,1
GOAA,2011,MAROON,QUATTROPORTE,4DSN,8G,53047,29,1,25200,2017,1
NADE,2016,RED,GHIBLI AWD,4DSN,6GT,6302,44,1,55500,2017,1
NADE,2014,SILVER,GHIBLI AWD,4DSN,6GT,23101,35,1,40000,2017,1
