auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AYCA,2004,BLUE,MASERATI,COUPE,2DCP,A,42583,27,1,14000,2017-01-02
LMAA,2007,MAROON,MASERATI,QUATTROP,4DSN,A,36658,34,1,18000,2017-01-03
RAA,2015,BLUE,MASERATI,GHIBLI,4DSN,A,7422,44,5,48000,2017-01-03
RAA,2015,RED,MASERATI,GHIBLI,4DSN,A,12293,37,5,47500,2017-01-03
BCAA,2011,MAROON,MASERATI,GRANTURISMO,2DCP,A,15886,35,1,45500,2017-01-04
NADE,2007,GRAY,MASERATI,QUATTROP,4DSN,A,92888,33,1,11800,2017-01-04
AAA,2013,GREY,MASERATI,GRANTURISMO,2DCP,A,30332,30,1,51200,2017-01-04
AAA,2014,BLUE,MASERATI,GHIBLI,4DSN,A,25721,50,1,43400,2017-01-04
CADE,2007,BLACK,MASERATI,QUATTROP,4DSN,A,58771,13,1,11750,2017-01-04
AAA,2016,BLACK,MASERATI,GRANTURISMO,2DCV,A,3078,49,1,87000,2017-01-04
WPBA,2014,SILVER,MASERATI,GHIBLI,4DSN,A,22992,36,11,40000,2017-01-05
MAA,2013,RED,MASERATI,GRANTURISMO,2DCV,A,20316,45,1,79500,2017-01-05
NWE,2008,WHITE,MASERATI,QUATTROP,4DSN,A,53006,32,1,17000,2017-01-05
WPBA,2011,BLACK,MASERATI,QUATTROP,4DSN,A,8888,34,2,43400,2017-01-05
MAA,2006,BLACK,MASERATI,QUATTROP,4DSN,A,46564,29,1,6000,2017-01-05
GCAA,2005,SILVER,MASERATI,COUPE,2DCP,A,31526,41,4,13750,2017-01-05
MAA,2016,GREY,MASERATI,GHIBLI,4DSN,A,827,49,2,58000,2017-01-05
GCAA,2014,GRAY,MASERATI,GHIBLI,4DSN,A,33896,35,1,40400,2017-01-05
CAAI,2007,BLACK,MASERATI,QUATTROP,4DSN,A,43378,29,2,18000,2017-01-05
NVAA,2008,SILVER,MASERATI,QUATTROP,4DSN,A,36382,35,2,24000,2017-01-06
MAA,2005,BLUE,MASERATI,COUPE,2DCP,A,29176,35,1,16500,2017-01-06
MAA,2014,GREY,MASERATI,GRANTURISMO,2DCP,A,23485,50,2,55500,2017-01-06
MAA,2013,WHITE,MASERATI,GRANTURISMO,2DCV,A,3076,44,2,75500,2017-01-06
DAA,2016,GRAY,MASERATI,GHIBLI,4DSN,A,6551,40,3,56750,2017-01-09
DAA,2016,BLACK,MASERATI,GHIBLI,4DSN,A,5136,40,3,56500,2017-01-09
DAA,2016,BLACK,MASERATI,GHIBLI,4DSN,A,7237,40,3,57500,2017-01-09
DAA,2016,BLUE,MASERATI,GHIBLI,4DSN,A,6791,40,3,56000,2017-01-09
SSAA,2015,GREY,MASERATI,GHIBLI,4DSN,A,5626,39,7,49250,2017-01-11
GOAA,2011,MAROON,MASERATI,QUATTROP,4DSN,A,53047,29,1,25200,2017-01-11
NADE,2016,RED,MASERATI,GHIBLI,4DSN,A,6302,44,1,55500,2017-01-11
NADE,2014,SILVER,MASERATI,GHIBLI,4DSN,A,23101,35,1,40000,2017-01-11
NADE,2014,BLUE,MASERATI,GHIBLI,4DSN,A,30071,40,1,40250,2017-01-11
NADE,2015,WHITE,MASERATI,GHIBLI,4DSN,A,37290,27,1,44000,2017-01-11
NADE,2014,BLACK,MASERATI,QUATTROP,4DSN,A,21495,28,1,46000,2017-01-11
NADE,2014,GRAY,MASERATI,GHIBLI,4DSN,A,33564,29,1,39000,2017-01-11
NADE,2013,NERO (BL,MASERATI,GRANTURISMO,2DCP,A,10898,37,3,54000,2017-01-11
NADE,2013,BLACK,MASERATI,GRANTURISMO,2DCP,A,14196,40,2,56500,2017-01-11
NADE,2014,BLACK,MASERATI,GHIBLI,4DSN,A,10493,39,3,45500,2017-01-11
NADE,2014,TAN,MASERATI,QUATTROP,4DSN,A,26086,34,3,44250,2017-01-11
NADE,2013,NERO SOL,MASERATI,GRANTURISMO,2DCV,A,18553,31,3,58000,2017-01-11
NADE,2014,BLACK,MASERATI,GHIBLI,4DSN,A,27559,15,1,36750,2017-01-11
NADE,2013,BIANCO E,MASERATI,GRANTURISMO,2DCP,A,32831,37,2,53500,2017-01-11
NADE,2014,PURPLE,MASERATI,GHIBLI,4DSN,A,37803,21,2,37250,2017-01-11
NADE,2013,BIANCO E,MASERATI,GRANTURISMO,2DCV,A,29510,29,2,55000,2017-01-11
NADE,2013,WHITE,MASERATI,GRANTURISMO,2DCP,A,42081,38,1,52000,2017-01-11
NADE,2014,BLACK,MASERATI,QUATTROP,4DSN,A,29714,36,1,45500,2017-01-11
NADE,2013,BIANCO E,MASERATI,GRANTURISMO,2DCP,A,39054,29,1,54000,2017-01-11
NADE,2014,BLACK,MASERATI,GHIBLI,4DSN,A,38822,35,1,40750,2017-01-11
NADE,2013,BIANCO E,MASERATI,GRANTURISMO,2DCP,A,23726,20,2,54000,2017-01-11
NADE,2014,GRAY,MASERATI,GHIBLI,4DSN,A,37419,40,2,40750,2017-01-11
NADE,2014,WHITE,MASERATI,QUATTROP,4DSN,A,32474,29,1,48750,2017-01-11
NADE,2013,NERO SOL,MASERATI,GRANTURISMO,2DCV,A,34475,28,2,53500,2017-01-11
NADE,2014,WHITE,MASERATI,GHIBLI,4DSN,A,19860,41,1,47250,2017-01-11
NADE,2014,GRAY,MASERATI,GHIBLI,4DSN,A,14142,41,1,44750,2017-01-11
NADE,2013,BIANCO E,MASERATI,GRANTURISMO,2DCP,A,35923,40,1,54750,2017-01-11
NADE,2014,PURPLE,MASERATI,GHIBLI,4DSN,A,30146,27,1,37250,2017-01-11
NADE,2014,BLUE,MASERATI,GHIBLI,4DSN,A,16371,35,1,40500,2017-01-11
NADE,2014,BLACK,MASERATI,QUATTROP,4DSN,A,25122,27,1,43500,2017-01-11
NADE,2014,BLACK,MASERATI,QUATTROP,4DSN,A,23668,34,1,45000,2017-01-11
NADE,2015,WHITE,MASERATI,GHIBLI,4DSN,A,22459,23,1,41750,2017-01-11
NADE,2014,BLUE,MASERATI,QUATTROP,4DSN,A,26518,28,2,43000,2017-01-11
NADE,2014,BLACK,MASERATI,QUATTROP,4DSN,A,34089,37,1,45250,2017-01-11
NADE,2014,GRAY,MASERATI,GHIBLI,4DSN,A,21999,23,1,37250,2017-01-11
NADE,2014,GRAY,MASERATI,GHIBLI,4DSN,A,5354,39,1,42000,2017-01-11
NADE,2014,BLUE,MASERATI,QUATTROP,4DSN,A,31882,26,1,41750,2017-01-11
NADE,2015,WHITE,MASERATI,GHIBLI,4DSN,A,15182,39,1,49500,2017-01-11
WPBA,2016,BLUE,MASERATI,GHIBLI,4DSN,A,1031,50,1,58600,2017-01-12
WPBA,2014,WHITE,MASERATI,QUATTROP,4DSN,A,13922,42,1,53400,2017-01-12
WPBA,2011,BLACK,MASERATI,GRANTURISMO,2DCP,A,5494,43,2,50000,2017-01-12
AAA,2009,BLACK,MASERATI,GRANTURISMO,2DCP,A,29308,38,3,41200,2017-01-12
AAA,2011,GREY,MASERATI,QUATTROP,4DSN,A,59213,19,2,23200,2017-01-12
RAA,2015,TAN,MASERATI,GHIBLI,4DSN,A,7503,40,5,49500,2017-01-12
RAA,2015,GRAY,MASERATI,GHIBLI,4DSN,A,5926,41,1,49500,2017-01-12
RAA,2015,GOLD,MASERATI,GHIBLI,4DSN,A,8140,32,1,47000,2017-01-12
RAA,2013,BLACK,MASERATI,GRANTURISMO,2DCP,A,33662,50,1,55000,2017-01-12
RAA,2008,WHITE,MASERATI,QUATTROP,4DSN,A,71153,39,1,19250,2017-01-12
NVAA,2010,GRAY,MASERATI,QUATTROP,4DSN,A,9141,42,2,38500,2017-01-13
LMAA,2013,GRAY,MASERATI,QUATTROP,4DSN,A,39670,48,4,36000,2017-01-13
MAA,2016,GREY,MASERATI,GHIBLI,4DSN,A,7047,46,1,54750,2017-01-13
MAA,2010,GREY,MASERATI,QUATTROP,4DSN,A,33015,36,1,37000,2017-01-13
MAA,2016,GREY,MASERATI,GHIBLI,4DSN,A,7360,44,1,57000,2017-01-13
BWAE,2008,BLUE,MASERATI,QUATTROP,4DSN,A,117731,26,1,12000,2017-01-17
MAA,2013,WHITE,MASERATI,GRANTURISMO,2DCP,A,16333,33,1,58000,2017-01-17
SAAA,2014,BLACK,MASERATI,GHIBLI,4DSN,A,36855,38,1,38250,2017-01-18
BCAA,2006,BLUE,MASERATI,QUATTROP,4DSN,A,60741,26,2,14100,2017-01-18
DALA,2008,BLACK,MASERATI,QUATTROP,4DSN,A,48828,37,1,21600,2017-01-18
DALA,2010,BLACK,MASERATI,QUATTROP,4DSN,A,32991,38,1,31000,2017-01-18
DALA,2014,SILVER,MASERATI,QUATTROP,4DSN,A,30176,43,1,45500,2017-01-18
NADE,2012,BLUE,MASERATI,QUATTROP,4DSN,A,44578,31,2,32000,2017-01-18
GCAA,2014,GRAY,MASERATI,GHIBLI,4DSN,A,32495,35,1,41600,2017-01-19
MAA,2016,GREY,MASERATI,GHIBLI,4DSN,A,3707,46,1,55000,2017-01-19
MAA,2014,WHITE,MASERATI,GHIBLI,4DSN,A,5168,46,3,47500,2017-01-19
MAA,2015,SILVER,MASERATI,GHIBLI,4DSN,A,15573,43,1,45500,2017-01-19
MAA,2014,BLUE,MASERATI,QUATTROP,4DSN,A,16325,39,1,56250,2017-01-19
MAA,2013,WHITE,MASERATI,GRANTURISMO,2DCP,A,2252,44,2,67500,2017-01-19
NVAA,2015,BLACK,MASERATI,QUATTROP,4DSN,A,8676,43,1,60750,2017-01-20
MAA,2015,BLACK,MASERATI,GHIBLI,4DSN,A,20425,33,3,44000,2017-01-20
