auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AYCA,2006,WHITE,MERCEDES,E350W,4DSN,A,95773.0,38,1,4300,2017-01-02
MAA,2011,BLUE,MERCEDES,ML350,SUV,A,40149.0,43,2,20500,2017-01-02
DALA,2010,BLACK,MERCEDES,C300,4DSN,A,73665.0,34,2,8600,2017-01-02
BIGH,2005,SILVER,MERCEDES,SL55 AMG,2DCV,A,52247.0,47,1,21000,2017-01-03
FAAO,2011,WHITE,MERCEDES,GL450,SUV,A,77087.0,39,1,20800,2017-01-03
FAAO,2011,BLACK,MERCEDES,GLK350W4,4SUV,A,88810.0,41,2,12800,2017-01-03
HATA,2009,BLUE,MERCEDES,ML350,4SUV,A,154581.0,36,1,8200,2017-01-03
OAA,2011,BLACK,MERCEDES,E55,4DSN,A,74088.0,41,1,17300,2017-01-03
BIGH,2011,BLACK,MERCEDES,ML350,SUV,A,79689.0,40,1,13400,2017-01-03
BWAE,2011,WHITE,MERCEDES,E350C,2DCP,A,97850.0,33,4,11700,2017-01-03
RAA,2015,BLACK,MERCEDES,ML350,SUV,A,25242.0,44,3,33500,2017-01-03
BWAE,2010,SILVER,MERCEDES,C300,4DSN,A,104684.0,38,2,8800,2017-01-03
SLAA,2008,BLACK,MERCEDES,GL450,4CUV,A,130835.0,23,1,9600,2017-01-03
BWAE,2004,BLACK,MERCEDES,C230,4DSN,A,103770.0,35,1,2700,2017-01-03
FAAO,2007,BLACK,MERCEDES,S550,4DSN,A,171213.0,28,1,7000,2017-01-03
FAAO,2012,BLACK,MERCEDES,E350C,2DCP,A,73640.0,24,2,14000,2017-01-03
FAAO,2010,WHITE,MERCEDES,CL63 AMG,2DSN,A,46989.0,26,5,34500,2017-01-03
RAA,2014,WHITE,MERCEDES,CLA250C,4DSN,A,26277.0,39,1,22500,2017-01-03
SKYA,2012,BLACK,MERCEDES,S550,4DSN,A,58148.0,34,4,28000,2017-01-03
AREN,2007,SILVER,MERCEDES,C230,4DSN,A,113052.0,22,3,3500,2017-01-03
AREN,2005,BLACK,MERCEDES,C240W4,4DSN,A,118991.0,29,1,2700,2017-01-03
AREN,2003,BLACK,MERCEDES,E320W,4DSN,A,206214.0,19,1,1400,2017-01-03
AREN,2003,BLACK,MERCEDES,S430V,4DSN,A,200394.0,39,1,1300,2017-01-03
FAAO,2014,LUN BLU,MERCEDES,C250,4DSN,A,16848.0,41,1,20400,2017-01-03
FAAO,2014,PAL SIL,MERCEDES,C250,4DSN,A,16963.0,41,1,20600,2017-01-03
FAAO,2014,STL GRY,MERCEDES,C300,4DSN,A,24454.0,41,1,19800,2017-01-03
FAAO,2014,BLUE,MERCEDES,GLK350W2,4SUV,A,37454.0,42,1,25200,2017-01-03
FAAO,2013,PAL SIL,MERCEDES,C250,4DSN,A,25584.0,44,1,17700,2017-01-03
FAAO,2014,BLACK,MERCEDES,C250,4DSN,A,21964.0,40,1,19800,2017-01-03
FAAO,2014,PLR WHT,MERCEDES,C250,4DSN,A,22332.0,47,1,19400,2017-01-03
FAAO,2014,POL SIL,MERCEDES,CLA250C,4DSN,A,19506.0,42,1,23800,2017-01-03
FAAO,2014,BLACK,MERCEDES,C250,4DSN,A,24090.0,43,1,19700,2017-01-03
FAAO,2011,BLACK,MERCEDES,GL550,SUV,A,34668.0,44,4,31300,2017-01-03
FAAO,2015,WHITE,MERCEDES,GLA250W4,SUV,A,16197.0,49,1,28600,2017-01-03
SKYA,2014,BLUE,MERCEDES,E350W4,4DSN,A,67514.0,39,5,20200,2017-01-03
RAA,2014,PLR WHT,MERCEDES,E350W,4DSN,A,20488.0,26,1,25000,2017-01-03
SVAA,2009,SILVER,MERCEDES,ML350,4SUV,A,91219.0,44,1,11400,2017-01-03
FAAO,2016,BLACK,MERCEDES,C300,SUV,A,22984.0,43,1,33100,2017-01-03
SVAA,2010,BLACK,MERCEDES,C300,4DSN,A,63635.0,28,1,11500,2017-01-03
SVAA,2015,GRAY,MERCEDES,E350W,4DSN,A,32745.0,36,5,29000,2017-01-03
OAA,2007,BLACK,MERCEDES,S550,4DSN,A,122566.0,35,1,12500,2017-01-03
GOAA,2005,SILVER,MERCEDES,E320W4,4DSN,A,117081.0,39,1,4500,2017-01-03
OAA,2009,BLACK,MERCEDES,SL63 AMG,2DCV,A,50252.0,40,1,31750,2017-01-03
AAA,2006,GREY,MERCEDES,ML350,4CUV,A,175624.0,27,1,4400,2017-01-03
AAA,2005,BLACK,MERCEDES,C230,4DSN,A,168722.0,29,1,3100,2017-01-03
AAA,2010,BLACK,MERCEDES,C300,4DSN,A,76877.0,33,1,9700,2017-01-03
AAA,2003,BLACK,MERCEDES,C230,4DSN,A,119382.0,28,1,2800,2017-01-03
FAAO,2014,POL SIL,MERCEDES,CLA250C,4DSN,A,23381.0,31,1,22000,2017-01-03
FAAO,2013,PLR WHT,MERCEDES,C250,4DSN,A,27201.0,19,1,15400,2017-01-03
FAAO,2014,BLACK,MERCEDES,C250,4DSN,A,59217.0,42,4,15800,2017-01-03
FAAO,2014,BLACK,MERCEDES,GLK350W2,4SUV,A,32131.0,28,1,24800,2017-01-03
FAAO,2013,LUN BLU,MERCEDES,E55,2DCV,A,57597.0,27,2,23800,2017-01-03
FAAO,2013,PAL SIL,MERCEDES,C250,4DSN,A,33721.0,23,1,14800,2017-01-03
FAAO,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,21549.0,25,1,20600,2017-01-03
OAA,2014,PLR WHT,MERCEDES,GL450,SUV,A,60432.0,32,4,34000,2017-01-03
MAA,2010,GREY,MERCEDES,GL450,SUV,A,80655.0,43,1,16800,2017-01-03
NADE,2012,BLACK,MERCEDES,C300,4DSN,A,88847.0,19,4,9300,2017-01-03
HATA,2010,BLUE,MERCEDES,C300,4DSN,A,64585.0,34,2,10700,2017-01-03
MAA,2011,GREY,MERCEDES,GL350,4SUV,A,65193.0,19,2,20600,2017-01-03
ALOH,2004,BLACK,MERCEDES,C230,4DSN,A,53553.0,33,1,2750,2017-01-04
NADE,2015,WHITE,MERCEDES,S550,4DSN,A,27003.0,38,2,61500,2017-01-04
NADE,2014,WHITE,MERCEDES,C300,4DSN,A,45658.0,27,5,16800,2017-01-04
NADE,2009,WHITE,MERCEDES,C300,4DSN,A,116144.0,26,1,8200,2017-01-04
SAAA,2010,RED,MERCEDES,GLK350W2,SUV,A,77316.0,37,1,12000,2017-01-04
BCAA,2015,GRAY,MERCEDES,CLA45 AMG,4DSN,A,7332.0,37,2,40250,2017-01-04
BCAA,2015,WHITE,MERCEDES,GLK350W4,SUV,A,40863.0,27,1,24000,2017-01-04
CADE,2007,WHITE,MERCEDES,C230,4DSN,A,97125.0,20,1,3000,2017-01-04
NOAA,2007,SILVER,MERCEDES,S550,4DSN,A,87726.0,39,2,13700,2017-01-04
SDAA,2011,GRAY,MERCEDES,E350W,4DSN,A,79879.0,35,1,15000,2017-01-04
BCAA,2012,BLACK,MERCEDES,GLK350W4,4SUV,A,38300.0,41,4,17750,2017-01-04
CADE,2012,WHITE,MERCEDES,C250,4DSN,A,76000.0,21,1,12000,2017-01-04
MAAI,2010,SILVER,MERCEDES,GLK350W4,SUV,A,76427.0,46,2,14000,2017-01-04
NASH,2014,WHITE,MERCEDES,3500,VAN,A,38865.0,35,1,32200,2017-01-04
BCAA,2011,WHITE,MERCEDES,ML550,4SUV,A,63989.0,37,2,19000,2017-01-04
BCAA,2010,BLACK,MERCEDES,E350W,4DSN,A,86190.0,34,1,14200,2017-01-04
BCAA,2010,BLACK,MERCEDES,GL550,4SUV,A,98276.0,35,1,18600,2017-01-04
NAA,2012,WHITE,MERCEDES,C300,4DSN,A,79853.0,43,1,11600,2017-01-04
NADE,2013,BLACK,MERCEDES,C300,4DSN,A,112080.0,29,3,12200,2017-01-04
NADE,2007,GRAY,MERCEDES,S550,4DSN,A,46342.0,27,1,16500,2017-01-04
SSAA,2015,SILVER,MERCEDES,GLK350W4,SUV,A,34375.0,41,1,26000,2017-01-04
BAA,2012,BLUE,MERCEDES,GLK350W4,4SUV,A,67923.0,46,1,16100,2017-01-04
BCAA,2007,GRAY,MERCEDES,C230,4DSN,A,74977.0,38,1,5800,2017-01-04
CADE,2013,WHITE,MERCEDES,E350W,4DSN,A,44341.0,34,1,15500,2017-01-04
NADE,2003,GRAY,MERCEDES,E500W,4DSN,A,42886.0,33,1,6400,2017-01-04
NADE,2014,WHITE,MERCEDES,ML350,4SUV,A,46189.0,39,1,32500,2017-01-04
NASH,2009,BLACK,MERCEDES,GL350,4SUV,A,80912.0,18,1,12400,2017-01-04
CADE,2014,GRAY,MERCEDES,CLA250C,4DSN,A,48574.0,36,2,21000,2017-01-04
CADE,2012,BLACK,MERCEDES,GLK350W2,4SUV,A,59233.0,37,1,17500,2017-01-04
CADE,2010,SILVER,MERCEDES,C300,4DSN,A,73000.0,35,1,10000,2017-01-04
CADE,2014,WHITE,MERCEDES,GLK350W2,4SUV,A,32696.0,35,3,22000,2017-01-04
CADE,2004,BLACK,MERCEDES,SL55 AMG,2DCV,A,70791.0,42,1,15500,2017-01-04
CADE,2010,BLACK,MERCEDES,ML350,4CUV,A,65484.0,32,1,14500,2017-01-04
CADE,2012,WHITE,MERCEDES,GL450,4SUV,A,69545.0,35,1,23750,2017-01-04
CADE,2006,GRAY,MERCEDES,E350W,4DSN,A,83067.0,32,1,5250,2017-01-04
BCAA,2014,BLACK,MERCEDES,C250,4DSN,A,35867.0,40,1,18500,2017-01-04
BCAA,2006,TAN,MERCEDES,ML350,4CUV,A,96630.0,36,2,7500,2017-01-04
GOAA,2010,TAN,MERCEDES,C300,4DSN,A,32809.0,47,1,13900,2017-01-04
BCAA,2014,PAL SIL,MERCEDES,ML350,4SUV,A,28954.0,36,1,31250,2017-01-04
BCAA,2014,BLACK,MERCEDES,GL450,SUV,A,37107.0,37,1,43000,2017-01-04
BCAA,2014,MNT GRY,MERCEDES,CLA250C,4DSN,A,10127.0,43,1,24500,2017-01-04
BCAA,2013,BLACK,MERCEDES,SL65 AMG,2DCP,A,15348.0,38,1,85000,2017-01-04
BCAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,27696.0,39,1,23250,2017-01-04
BCAA,2014,PLR WHT,MERCEDES,E350A,2DCV,A,55417.0,35,1,28500,2017-01-04
BCAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,25740.0,41,1,23250,2017-01-04
BCAA,2015,BLACK,MERCEDES,E400,4DSN,A,21037.0,36,1,37000,2017-01-04
BCAA,2014,ARC WHT,MERCEDES,CLA250C,4DSN,A,39357.0,34,3,19500,2017-01-04
