auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AYCA,2002,RED,PORSCHE,911,2DCV,A,122975.0,31,1.0,12000.0,2017-01-02
AAAI,2004,BLUE,PORSCHE,CAYENNE,SUV,A,106528.0,36,4.0,3800.0,2017-01-03
RAA,2016,WHITE,PORSCHE,PANAMERA,4DHB,A,9463.0,43,8.0,65000.0,2017-01-03
AREN,2013,BLACK,PORSCHE,CAYENNE,SUV,A,102756.0,23,3.0,31800.0,2017-01-03
HATA,2001,SILVER,PORSCHE,911,2DCV,6,38225.0,13,4.0,15000.0,2017-01-03
RAA,2014,WHITE,PORSCHE,911,2DCV,A,12828.0,44,8.0,62000.0,2017-01-03
SVAA,2014,BLUE,PORSCHE,PANAMERA,4DHB,A,32575.0,50,2.0,58150.0,2017-01-03
SVAA,2007,SILVER,PORSCHE,CAYMAN,2DCP,A,70489.0,43,4.0,19200.0,2017-01-03
SVAA,2013,GRAY,PORSCHE,911,2DCP,7,17714.0,41,2.0,70500.0,2017-01-03
SVAA,2006,BLACK,PORSCHE,911,2DCP,6,63607.0,40,1.0,32000.0,2017-01-03
RAA,2006,BLACK,PORSCHE,CAYENNE,SUV,A,104123.0,28,4.0,7000.0,2017-01-03
DETA,2016,BROWN,PORSCHE,MACAN,SUV,A,6260.0,50,1.0,51800.0,2017-01-03
SVAA,2014,WHITE,PORSCHE,BOXSTER,2DCV,A,7548.0,44,1.0,47750.0,2017-01-03
RAA,2016,BLACK,PORSCHE,MACAN,SUV,A,12704.0,38,3.0,47500.0,2017-01-03
RAA,2015,WHITE,PORSCHE,PANAMERA,4DHB,A,22979.0,46,8.0,61000.0,2017-01-03
RAA,2015,BLACK,PORSCHE,911,2DCV,A,26753.0,42,5.0,67500.0,2017-01-03
UAA,2006,BLACK,PORSCHE,CAYENNE,SUV,A,119069.0,34,7.0,7700.0,2017-01-04
BCAA,2016,WHITE,PORSCHE,MACAN,SUV,A,12050.0,41,1.0,53500.0,2017-01-04
SAAA,2007,GRAY,PORSCHE,CAYMAN,2DCP,6,53369.0,37,1.0,21200.0,2017-01-04
CADE,1999,BLACK,PORSCHE,911,2DCP,6,153490.0,20,3.0,8000.0,2017-01-04
SSAA,2006,SILVER,PORSCHE,CAYENNE,SUV,A,84657.0,43,2.0,9800.0,2017-01-04
BCAA,2008,BLACK,PORSCHE,911,2DCV,A,18909.0,44,1.0,45750.0,2017-01-04
BCAA,2014,GRAY,PORSCHE,CAYENNE,SUV,A,34153.0,44,1.0,48750.0,2017-01-04
BCAA,2011,BLACK,PORSCHE,CAYENNE,SUV,A,47551.0,38,1.0,32500.0,2017-01-04
BCAA,2006,SILVER,PORSCHE,CAYENNE,SUV,A,91882.0,28,1.0,8300.0,2017-01-04
CADE,2013,GRAY,PORSCHE,PANAMERA,4DHB,A,44738.0,40,1.0,42750.0,2017-01-04
CADE,2003,GRAY,PORSCHE,911,2DCP,6,42009.0,40,1.0,20250.0,2017-01-04
CADE,2004,BLACK,PORSCHE,CAYENNE,SUV,A,134658.0,32,1.0,5200.0,2017-01-04
NADE,2011,BLUE,PORSCHE,PANAMERA,4DHB,A,55925.0,45,1.0,37250.0,2017-01-04
NASH,2011,BLACK,PORSCHE,CAYENNE,SUV,A,69033.0,40,1.0,32200.0,2017-01-04
CADE,2004,BLACK,PORSCHE,CAYENNE,SUV,A,95393.0,32,1.0,9500.0,2017-01-04
CADE,1999,SILVER,PORSCHE,911,2DCP,6,105114.0,29,1.0,9750.0,2017-01-04
BCAA,2013,BROWN,PORSCHE,911,2DCP,A,21075.0,45,1.0,58500.0,2017-01-04
GOAA,2009,BLACK,PORSCHE,CAYENNE,SUV,A,115498.0,39,1.0,15800.0,2017-01-04
DALA,2015,BLACK,PORSCHE,MACAN,SUV,A,42443.0,42,1.0,55750.0,2017-01-04
AAA,2014,BLACK,PORSCHE,PANAMERA,4DHB,A,13068.0,43,1.0,78500.0,2017-01-04
AAA,2015,SILVER,PORSCHE,PANAMERA,4DHB,A,8247.0,49,1.0,82500.0,2017-01-04
AAA,2014,BLACK,PORSCHE,CAYENNE,SUV,A,47505.0,40,1.0,39500.0,2017-01-04
AAA,2015,WHITE,PORSCHE,PANAMERA,4DHB,A,17285.0,38,1.0,56500.0,2017-01-04
AAA,2015,SILVER,PORSCHE,911,2DCV,A,14353.0,40,1.0,87000.0,2017-01-04
