auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
KEYA,2001,SILVER,TOYOTA,SEQUOIA,SUV,O,206970,23,3,1900,2017-01-02
AYCA,2009,SILVER,TOYOTA,HIGHL,SUV,A,103924,35,1,13000,2017-01-02
AAA,2016,BLACK,TOYOTA,COROLLA,4DSN,A,24368,44,3,11800,2017-01-02
AAA,2016,BLACK,TOYOTA,CAMRY,4DSN,A,26322,44,6,14600,2017-01-02
AAA,2015,BLACK,TOYOTA,COROLLA,4DSN,A,24565,44,2,12700,2017-01-02
AAA,2014,BLUE,TOYOTA,SIENNA,VAN,A,34439,28,2,16000,2017-01-02
AAA,2014,BLUE,TOYOTA,SIENNA,VAN,A,29454,26,2,26900,2017-01-02
BCAA,2016,BLUE,TOYOTA,CAMRY,4DSN,A,26223,43,2,14600,2017-01-02
BCAA,2016,WHITE,TOYOTA,PRIUS,5DHB,A,11888,41,2,17600,2017-01-02
BCAA,2016,GRAY,TOYOTA,PRIUS,5DHB,A,13348,42,2,17200,2017-01-02
FAAO,2015,WHITE,TOYOTA,AVALON,4DSN,A,3571,49,5,28000,2017-01-02
FAAO,2016,BLACK,TOYOTA,CAMRY,4DSN,A,13417,40,5,15400,2017-01-02
KCAA,2016,RED,TOYOTA,PRIUS,5DHB,A,10052,43,4,24300,2017-01-02
KCAA,2016,GRAY,TOYOTA,CAMRY,4DSN,A,1325,50,1,16100,2017-01-02
KCAA,2014,SVSKY,TOYOTA,TUNDRA,CREW,A,16294,37,2,38900,2017-01-02
MAA,2014,WHITE,TOYOTA,RAV,SUV,A,33856,44,2,18300,2017-01-02
MAA,2013,RED,TOYOTA,RAV,SUV,A,60462,35,2,14100,2017-01-02
MAA,2016,WHITE,TOYOTA,COROLLA,4DSN,A,7971,42,6,12800,2017-01-02
MMAA,2016,RED,TOYOTA,COROLLA,4DSN,A,9087,39,5,12800,2017-01-02
MMAA,2014,BLACK,TOYOTA,TUNDRA,CREW,A,38249,24,2,20900,2017-01-02
MMAA,2016,SILVER,TOYOTA,CAMRY,4DSN,A,14441,44,8,14800,2017-01-02
MMAA,2013,BLACK,TOYOTA,RAV,SUV,A,48724,36,1,14900,2017-01-02
MMAA,2013,WHITE,TOYOTA,CAMRY,4DSN,A,34816,31,2,9400,2017-01-02
MMAA,2014,WHITE,TOYOTA,CAMRY,4DSN,A,25513,47,1,12900,2017-01-02
MMAA,2014,GREEN,TOYOTA,PRIUS,5DHB,A,21156,41,1,11700,2017-01-02
MMAA,2013,WHITE,TOYOTA,RAV,SUV,A,38343,44,1,17300,2017-01-02
MMAA,2015,RED,TOYOTA,RAV,SUV,A,26182,43,2,16100,2017-01-02
NADE,2014,GRAY,TOYOTA,CAMRY,4DSN,A,45197,29,1,11400,2017-01-02
NASH,2016,WHITE,TOYOTA,CAMRY,4DSN,A,7661,46,3,14800,2017-01-02
NASH,2014,GRAY,TOYOTA,COROLLA,4DSN,A,18550,36,1,12200,2017-01-02
NASH,2013,BLACK,TOYOTA,PRIUS,5DHB,A,32444,29,3,13500,2017-01-02
NASH,2007,GRAY,TOYOTA,CAMRY,2DCP,A,197719,21,1,2300,2017-01-02
OAA,2014,WHITE,TOYOTA,CAMRY,4DSN,A,31331,37,3,14400,2017-01-02
OAA,2014,SILVER,TOYOTA,COROLLA,4DSN,A,24239,35,2,10100,2017-01-02
OAA,2014,SILVER,TOYOTA,CAMRY,4DSN,A,59186,36,1,12100,2017-01-02
OAA,2014,TAN,TOYOTA,CAMRY,4DSN,A,27659,43,1,12600,2017-01-02
OAA,2014,SILVER,TOYOTA,COROLLA,4DSN,A,49459,36,1,10300,2017-01-02
OAA,2014,BLACK,TOYOTA,CAMRY,4DSN,A,40690,40,1,12700,2017-01-02
OAA,2014,BLACK,TOYOTA,CAMRY,4DSN,A,27096,40,1,14900,2017-01-02
OAA,2014,GREY,TOYOTA,COROLLA,4DSN,A,35355,41,1,10400,2017-01-02
OAA,2016,GOLD,TOYOTA,CAMRY,4DSN,A,15265,42,2,15000,2017-01-02
OAA,2014,SILVER,TOYOTA,COROLLA,4DSN,A,12462,42,1,11700,2017-01-02
OAA,2014,BLACK,TOYOTA,COROLLA,4DSN,A,29726,20,2,9000,2017-01-02
OAA,2013,GREY,TOYOTA,CAMRY,4DSN,A,51120,47,1,11500,2017-01-02
PXAA,2014,WHITE,TOYOTA,COROLLA,4DSN,A,31414,37,1,10500,2017-01-02
PXAA,2014,WHITE,TOYOTA,RAV,SUV,A,12289,34,6,16900,2017-01-02
PXAA,2016,WHITE,TOYOTA,CAMRY,4DSN,A,22849,41,2,14500,2017-01-02
PXAA,2016,GRAY,TOYOTA,CAMRY,4DSN,A,17393,35,8,14600,2017-01-02
SDAA,2013,GRAY,TOYOTA,CAMRY,4DSN,A,40781,14,2,8800,2017-01-02
SDAA,2014,SILVER,TOYOTA,PRIUS,5DHB,A,38624,17,2,11000,2017-01-02
SSAA,2016,SILVER,TOYOTA,COROLLA,4DSN,A,23032,45,2,11600,2017-01-02
SSAA,2016,SILVER,TOYOTA,CAMRY,4DSN,A,15452,41,9,14500,2017-01-02
SSAA,2016,BLUE,TOYOTA,COROLLA,4DSN,A,6246,46,2,12700,2017-01-02
SSAA,2016,SILVER,TOYOTA,COROLLA,4DSN,A,23430,44,2,11400,2017-01-02
SSAA,2013,RED,TOYOTA,COROLLA,4DSN,A,48624,15,1,6700,2017-01-02
THAA,2009,SILVER,TOYOTA,CAMRY,4DSN,5,142732,21,1,3100,2017-01-02
THAA,2014,BLACK,TOYOTA,SIENNA,VAN,A,47911,26,7,20500,2017-01-02
THAA,2016,WHITE,TOYOTA,CAMRY,4DSN,A,9257,47,2,15300,2017-01-02
THAA,2015,RED,TOYOTA,RAV,SUV,A,17156,40,1,16200,2017-01-02
THAA,2016,BLACK,TOYOTA,CAMRY,4DSN,A,17883,34,2,13800,2017-01-02
THAA,2016,BLUE,TOYOTA,TUNDRA,DCAB,A,18649,31,1,24800,2017-01-02
THAA,2015,BLACK,TOYOTA,AVALON,4DSN,A,13699,44,9,21700,2017-01-02
FAAO,2013,GRAY,TOYOTA,RAV,SUV,A,27479,46,4,16500,2017-01-03
FAAO,2014,RED,TOYOTA,COROLLA,4DSN,A,22135,43,1,9600,2017-01-03
OAA,2014,RED,TOYOTA,VENZA,SUV,A,53059,38,1,19400,2017-01-03
OAA,2012,BLACK,TOYOTA,CAMRY,4DSN,A,78141,42,1,10600,2017-01-03
SLAA,2016,SILVER,TOYOTA,COROLLA,4DSN,A,7552,43,1,11300,2017-01-03
BIGH,2006,BLACK,TOYOTA,COROLLA,4DSN,A,200255,13,1,1800,2017-01-03
BIGH,2005,BLACK,TOYOTA,TUNDRA,CREW,A,173653,29,1,4650,2017-01-03
FAAO,2013,GRAY,TOYOTA,RAV,SUV,A,18179,25,1,15025,2017-01-03
OAA,2010,WHITE,TOYOTA,CAMRY,4DSN,A,83294,26,1,7000,2017-01-03
AAAI,2010,BLACK,TOYOTA,COROLLA,4DSN,A,95555,25,1,7200,2017-01-03
AAAI,2007,BLACK,TOYOTA,RAV,SUV,A,112835,37,1,6500,2017-01-03
AAAI,2015,GRAY,TOYOTA,RAV,SUV,A,40607,25,2,16500,2017-01-03
FAAO,2015,WHITE,TOYOTA,SIENNA,VAN,A,21501,41,1,27200,2017-01-03
AAAI,2013,BLACK,TOYOTA,COROLLA,4DSN,A,42846,13,2,5500,2017-01-03
AAAI,2005,RED,TOYOTA,SIENNA,VAN,A,203355,27,1,1700,2017-01-03
RAA,2005,BLACK,TOYOTA,CAMRY,2DCP,A,119218,15,1,3800,2017-01-03
RAA,2005,SILVER,TOYOTA,SIENNA,VAN,A,97866,27,1,3800,2017-01-03
AAAI,1999,SILVER,TOYOTA,COROLLA,4DSN,A,93116,13,1,700,2017-01-03
OAA,2011,SILVER,TOYOTA,SIENNA,VAN,A,52967,29,1,13000,2017-01-03
BWAE,2009,BLUE,TOYOTA,CAMRY,4DSN,A,134420,28,2,4800,2017-01-03
SKYA,2004,GRAY,TOYOTA,SIENNA,VAN,A,112982,12,1,3200,2017-01-03
FAAO,2007,WHITE,TOYOTA,CAMRY,4DSN,A,137998,0,1,3000,2017-01-03
SLAA,2014,SILVER,TOYOTA,CAMRY,4DSN,A,43898,29,7,11600,2017-01-03
AAAW,2016,BLACK,TOYOTA,COROLLA,4DSN,A,29740,29,1,9500,2017-01-03
AAAW,2010,GOLD,TOYOTA,COROLLA,4DSN,A,84347,19,1,3500,2017-01-03
SKYA,2008,GRAY,TOYOTA,HIGHL,SUV,A,162411,36,3,6800,2017-01-03
SVAA,2008,WHITE,TOYOTA,TUNDRA,CREW,A,122595,26,1,13100,2017-01-03
BWAE,2015,SILVER,TOYOTA,YARIS,4DSN,A,36421,35,4,8200,2017-01-03
FAAO,2013,BLUE,TOYOTA,RAV,SUV,A,28022,41,2,16200,2017-01-03
FAAO,2014,RED,TOYOTA,COROLLA,4DSN,A,15706,48,1,12100,2017-01-03
FAAO,2013,BLACK,TOYOTA,RAV,SUV,A,25212,40,3,17000,2017-01-03
FAAO,2014,BLACK,TOYOTA,CAMRY,4DSN,A,27901,42,1,13000,2017-01-03
FAAO,2015,GRAY,TOYOTA,RAV,SUV,A,14782,45,1,17300,2017-01-03
FAAO,2014,SILVER,TOYOTA,VENZA,SUV,A,35466,44,2,18600,2017-01-03
FAAO,2013,GRAY,TOYOTA,PRIUS,5DHB,A,43772,41,1,12600,2017-01-03
FAAO,2013,BLUE,TOYOTA,PRIUS,4WGN,A,42488,38,6,12800,2017-01-03
FAAO,2013,GREEN,TOYOTA,HIGHL,SUV,A,44127,45,1,23800,2017-01-03
FAAO,2014,BLACK,TOYOTA,COROLLA,4DSN,A,30213,27,1,8400,2017-01-03
FAAO,2014,GRAY,TOYOTA,COROLLA,4DSN,A,52186,23,1,7600,2017-01-03
