auction_code,name,region,address,city,state,zip,country,latitude,longitude
EDMO,Manheim Edmonton,Canada,12866 153 St NW,Edmonton,AB,T5V 1A9,CAN,53.55014,-113.469
HLFX,Manheim Halifax,Canada,376 Sackville Dr,Lower Sackville,NS,B4C 2R8,CAN,44.76307,-63.6758
MTRL,Manheim Montreal,Canada,715 Rue Dubois,Saint-Eustache,QC,J7P 3W1,CAN,45.565,-73.9055
TAA,Manheim Toronto,Canada,8277 Lawson Rd,Milton,ON,L9T 5C7,CAN,43.54348,-79.8848
CANM,Manheim Vancouver,Canada,"Suite 400, 628 6th Ave",New Westminster,BC,V3M 6Z1,CAN,49.20678,-122.911
AREN,Manheim Arena Illinois,Central Region,200 West Old Chicago Dr,Bolingbrook,IL,60440,USA,41.6805,-88.0702
GCAA,Manheim Chicago,Central Region,20401 Cox Ave,Matteson,IL,60443,USA,41.51906,-87.7842
DALA,Manheim Dallas,Central Region,5333 West Kiest Blvd,Dallas,TX,75236,USA,32.70838,-96.9132
DFWA,Manheim Dallas-Fort Worth,Central Region,12101 Trinity Boulevard,Fort Worth,TX,76040,USA,32.81658,-97.1061
DAA,Manheim Denver,Central Region,17500 East 31st Ave,Aurora,CO,80011,USA,39.7588,-104.824
BIGH,Manheim Houston,Central Region,"14450 West Rd, Westland",Houston,TX,77041,USA,29.8586,-95.5808
MMAA,Manheim Milwaukee,Central Region,561 South Highway 41,Caledonia,WI,53108,USA,43.023,-87.9177
RAA,Manheim Riverside,Central Region,6446 Fremont St,Riverside,CA,92504,USA,33.95541,-117.437
SAAA,Manheim San Antonio,Central Region,1500 Ackerman Rd,San Antonio,TX,78219,USA,29.44347,-98.3789
SCAA,Manheim Southern Cal,Central Region,10700 Beech Ave,Fontana,CA,92335,USA,34.05715,-117.472
LHST,Manheim South Houston,Central Region,9605 Glaveston Rd,Houston,TX,77034,USA,29.6195,-95.1915
THAA,Manheim Texas Hobby,Central Region,800 Brisbane Rd,Houston,TX,77061,USA,29.6378,-95.3536
WSTX,Manheim West Texas,Central Region,614 CR 7200,Lubbock,TX,28027,USA,35.4069,-80.686
AAA,Manheim Atlanta,East Region,4900 Buffington Rd,Red Oak,GA,30272,USA,33.6216,-84.4994
BWAE,Manheim Baltimore - Washington,East Region,7120 Dorsey Run Rd,Elkridge,MD,21075,USA,39.17603,-76.7583
DETA,Manheim Detroit,East Region,600 Will Carleton Rd,Taylor,MI,48180,USA,42.094,-83.3475
FAA,Manheim Fredericksburg,East Region,4907 Jefferson Davis High,Fredericksburg,VA,22408,USA,38.2203,-77.4437
AAAW,Manheim Georgia,East Region,7205 Campbellton Rd,Atlanta,GA,30331,USA,33.693,-84.6205
NASH,Manheim Nashville,East Region,8400 Eastgate Blvd,Mt Juliet,TN,37122,USA,36.1855,-86.4411
NADE,Manheim New Jersey,East Region,3328 Route 206,Bordentown,NJ,8505,USA,39.9891,-74.5936
NAA,Manheim New York,East Region,18 Route 17K,Newburgh,NY,12550,USA,41.5396,-74.0572
MAA,Manheim Pennsylvania,East Region,1190 Lancaster Rd,Manheim,PA,17545,USA,40.14011,-76.3829
HATA,Manheim Philadelphia,East Region,2280 Bethlehem Pike,Hatfield,PA,19440,USA,40.29637,-75.2807
PRAA,Caribbean Sbasta De Auto,Florida Region,Carretera 865,Toa Baja,PR,949,USA,18.4307,-66.2128
GOAA,Manheim Central Florida,Florida Region,9800 Bachman Rd,Orlando,FL,32824,USA,28.42468,-81.3934
DADE,Manheim Daytona Beach,Florida Region,1305 Indian Lake Rd,Daytona Beach,FL,32120,USA,29.14265,-81.1417
LMAA,Manheim Fort Lauderdale,Florida Region,5353 South State Rd 7,Davie,FL,33314,USA,26.05972,-80.2138
SWFL,Manheim Fort Myers,Florida Region,2100 Rockfill Rd,Fort Myers,FL,33916,USA,26.64006,-81.8307
JAX,Manheim Jacksonville,Florida Region,10817 New Kings Rd,Jacksonville,FL,32219,USA,30.43239,-81.7571
LAA,Manheim Lakeland,Florida Region,Interstate 4 & Highway 33,Lakeland,FL,33809,USA,27.0474,-82.2654
FAAO,Manheim Orlando,Florida Region,600 West Highway 50,Ocoee,FL,34761,USA,28.5447,-81.3886
WPBA,Manheim Palm Beach,Florida Region,600 Sansbury Way,West Palm Beach,FL,33411,USA,26.72,-80.1932
PCAA,Manheim Pensacola,Florida Region,401 West Burgess Rd,Pensacola,FL,32503,USA,30.49643,-87.2608
SPAA,Manheim St Pete,Florida Region,14950 Roosevelt Boulevard,Clearwater,FL,33762,USA,27.90986,-82.7006
TBAA,Manheim Tampa,Florida Region,401 South 50th St,Tampa,FL,33619,USA,27.9485,-82.405
SONB,Manheim Birmingham,Midwest Region,5750 Highway 78 E,Birmingham,AL,35210,USA,33.54893,-86.641
PTAF,Manheim Flint,Midwest Region,4109 Holiday Dr,Flint,MI,48507,USA,42.96827,-83.7162
KCAA,Manheim Kansas City,Midwest Region,3901 N. Great Midwest Dri,Kansas City,MO,64161,USA,39.1586,-94.4509
